Method,Planner,Motion Profile,Map ID,Agent size,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 250)","(460, 40)",12.6,337,6,3.483333333333334,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 250)","(460, 250)",4.4,212,1,1.0,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 250)","(460, 460)",3.1,130,2,0.95,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 460)","(40, 40)",4.2,192,3,1.366666666666667,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 460)","(40, 250)",19.5,439,4,7.025,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 460)","(40, 460)",9.6,228,2,5.0,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 460)","(250, 40)",8.6,287,6,3.633333333333334,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 460)","(250, 250)",8.6,302,6,3.75,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 460)","(460, 40)",7.5,296,5,3.1,0,0,1,0,0,2
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 460)","(460, 250)",6.300000000000001,188,5,2.22,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(250, 460)","(460, 460)",9.1,175,2,3.85,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 40)","(40, 40)",9.7,277,4,2.5,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 40)","(40, 250)",21.1,612,4,6.275000000000001,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 40)","(40, 460)",31.6,733,7,4.0,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 40)","(250, 40)",9.7,276,4,2.5,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 40)","(250, 250)",18.2,501,3,4.166666666666667,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 40)","(250, 460)",23.700000000000003,639,9,2.566666666666667,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 40)","(460, 250)",7.7,200,3,0.9666666666666668,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 40)","(460, 460)",7.800000000000001,180,2,1.2000000000000002,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 250)","(40, 40)",5.2,239,0,,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 250)","(40, 250)",21.5,582,6,5.966666666666666,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 250)","(40, 460)",10.8,355,4,4.4750000000000005,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 250)","(250, 40)",6.7,250,1,1.3,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 250)","(250, 250)",11.1,355,5,4.08,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 250)","(250, 460)",19.1,431,5,6.9,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 250)","(460, 40)",10.5,330,2,0.45,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 250)","(460, 460)",10.5,230,4,4.3500000000000005,1,0,0,0,0,1
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 460)","(40, 40)",2.1,123,1,1.1,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 460)","(40, 250)",1.9,114,1,1.1,0,0,1,0,0,3
LookAhead,MPC,CVM,0,15,10,0,43.3,20,0,"(460, 460)","(40, 460)",1.8,101,2,0.55,0,0,1,0,0,2
