Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
LookAhead,Primitive,RVO,53,10,10,20,20,0,36.0,713,2,13.05,1,0,0,0,0
LookAhead,Primitive,RVO,54,10,10,20,20,0,40.400000000000006,747,4,16.35,1,0,0,0,0
LookAhead,Primitive,RVO,55,10,10,20,20,0,37.1,683,2,9.6,1,0,0,0,0
LookAhead,Primitive,RVO,56,10,10,20,20,0,37.4,717,2,7.0,1,0,0,0,0
LookAhead,Primitive,RVO,57,10,10,20,20,0,1.4,67,1,0.4,0,0,1,0,0
LookAhead,Primitive,RVO,58,10,10,20,20,0,39.400000000000006,751,4,9.9,1,0,0,0,0
LookAhead,Primitive,RVO,59,10,10,20,20,0,38.5,803,5,21.42,1,0,0,0,0
LookAhead,Primitive,RVO,0,10,10,20,40,0,23.6,759,2,12.85,1,0,0,0,0
LookAhead,Primitive,RVO,1,10,10,20,40,0,22.3,742,4,11.3,1,0,0,0,0
LookAhead,Primitive,RVO,2,10,10,20,40,0,21.5,668,2,13.2,1,0,0,0,0
LookAhead,Primitive,RVO,3,10,10,20,40,0,23.5,798,5,8.760000000000002,1,0,0,0,0
LookAhead,Primitive,RVO,4,10,10,20,40,0,21.5,713,4,8.675,1,0,0,0,0
LookAhead,Primitive,RVO,5,10,10,20,40,0,21.5,720,0,,1,0,0,0,0
LookAhead,Primitive,RVO,6,10,10,20,40,0,21.5,712,2,3.65,1,0,0,0,0
LookAhead,Primitive,RVO,7,10,10,20,40,0,25.9,803,4,10.8,1,0,0,0,0
LookAhead,Primitive,RVO,8,10,10,20,40,0,26.9,775,1,8.0,1,0,0,0,0
LookAhead,Primitive,RVO,9,10,10,20,40,0,20.4,709,2,6.6000000000000005,1,0,0,0,0
LookAhead,Primitive,RVO,10,10,10,20,40,0,29.700000000000003,828,4,13.45,1,0,0,0,0
LookAhead,Primitive,RVO,11,10,10,20,40,0,26.700000000000003,829,5,17.0,1,0,0,0,0
LookAhead,Primitive,RVO,12,10,10,20,40,0,25.1,806,6,12.166666666666666,1,0,0,0,0
LookAhead,Primitive,RVO,13,10,10,20,40,0,22.9,724,2,14.250000000000002,1,0,0,0,0
LookAhead,Primitive,RVO,14,10,10,20,40,0,22.0,727,5,15.04,1,0,0,0,0
LookAhead,Primitive,RVO,15,10,10,20,40,0,21.5,689,1,2.3000000000000003,1,0,0,0,0
LookAhead,Primitive,RVO,16,10,10,20,40,0,23.3,760,4,9.3,1,0,0,0,0
LookAhead,Primitive,RVO,17,10,10,20,40,0,21.700000000000003,750,0,,1,0,0,0,0
LookAhead,Primitive,RVO,18,10,10,20,40,0,21.0,710,7,9.842857142857143,1,0,0,0,0
LookAhead,Primitive,RVO,19,10,10,20,40,0,22.3,699,1,14.0,1,0,0,0,0
LookAhead,Primitive,RVO,20,10,10,20,40,0,22.200000000000003,688,2,13.25,1,0,0,0,0
LookAhead,Primitive,RVO,21,10,10,20,40,0,24.8,733,1,13.7,1,0,0,0,0
LookAhead,Primitive,RVO,22,10,10,20,40,0,22.3,770,2,14.5,1,0,0,0,0
LookAhead,Primitive,RVO,23,10,10,20,40,0,24.3,757,2,10.3,1,0,0,0,0
LookAhead,Primitive,RVO,24,10,10,20,40,0,23.8,763,4,13.775,1,0,0,0,0
LookAhead,Primitive,RVO,25,10,10,20,40,0,21.700000000000003,748,4,10.9,1,0,0,0,0
LookAhead,Primitive,RVO,26,10,10,20,40,0,25.700000000000003,746,4,13.425,1,0,0,0,0
LookAhead,Primitive,RVO,27,10,10,20,40,0,26.9,820,2,8.5,1,0,0,0,0
LookAhead,Primitive,RVO,28,10,10,20,40,0,22.8,746,3,5.766666666666668,0,0,1,0,0
LookAhead,Primitive,RVO,29,10,10,20,40,0,25.8,762,3,8.766666666666667,1,0,0,0,0
LookAhead,Primitive,RVO,30,10,10,20,40,0,22.8,730,2,7.4,1,0,0,0,0
LookAhead,Primitive,RVO,31,10,10,20,40,0,23.4,685,6,8.216666666666667,1,0,0,0,0
LookAhead,Primitive,RVO,32,10,10,20,40,0,27.0,745,3,16.233333333333334,1,0,0,0,0
LookAhead,Primitive,RVO,33,10,10,20,40,0,23.1,813,4,7.125000000000001,0,0,1,0,0
LookAhead,Primitive,RVO,34,10,10,20,40,0,30.0,977,5,11.580000000000002,1,0,0,0,0
LookAhead,Primitive,RVO,35,10,10,20,40,0,24.4,783,3,12.9,1,0,0,0,0
