,Method,Planner,depth var,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Total samples,Success,Static Collision,Dynamic Collision,Dead Lock,Success rate,Tracked agents,Tracked time,velocity ratio
50,NoControl,MPC,0,20,0,40,60.0,0,4320,1552,46,2525,197,0.4048611111111111,21861,61704.6,0.67
51,NoControl,Primitive,0,20,0,60,60.0,0,4320,1210,8,2788,314,0.3527777777777778,25218,61613.50000000001,1.0
52,NoControl,Jerk_Primitive,0,20,0,60,60.0,0,4320,3288,12,1020,0,0.7611111111111111,30886,82153.9,1.0
53,NoControl,MPC,0,20,0,60,60.0,0,4320,1190,62,2985,83,0.29467592592592595,22731,48769.8,1.0
54,NoControl,Primitive,0,30,0,20,20.0,0,4320,2551,1,1072,696,0.7516203703703703,50526,429175.50000000006,1.0
55,NoControl,Jerk_Primitive,0,30,0,20,20.0,0,4320,3150,0,813,357,0.8118055555555556,48027,384986.30000000005,1.0
56,NoControl,MPC,0,30,0,20,20.0,0,4320,2593,0,1346,381,0.6884259259259259,54094,492221.00000000006,1.0
57,NoControl,Primitive,0,30,0,40,20.0,0,4320,340,0,1514,2466,0.649537037037037,39470,155697.0,2.0
58,NoControl,Jerk_Primitive,0,30,0,40,20.0,0,4320,1381,0,2112,827,0.5111111111111111,59541,288646.2,2.0
59,NoControl,MPC,0,30,0,40,20.0,0,4320,1586,0,2424,310,0.4388888888888889,65513,335250.7,2.0
60,NoControl,Primitive,0,30,0,60,20.0,0,4320,48,0,2477,1795,0.42662037037037037,31133,72944.5,3.0
61,NoControl,Jerk_Primitive,0,30,0,60,20.0,0,4320,257,0,3576,487,0.17222222222222222,39141,107147.80000000002,3.0
62,NoControl,MPC,0,30,0,60,20.0,0,4320,609,0,3575,136,0.1724537037037037,56378,183543.9,3.0
63,NoControl,Primitive,0,30,0,20,40.0,0,4320,2989,1,824,506,0.8090277777777778,47462,359471.4,0.5
64,NoControl,Jerk_Primitive,0,30,0,20,40.0,0,4320,3927,5,359,29,0.9157407407407407,39986,206457.3,0.5
65,NoControl,MPC,0,30,0,20,40.0,0,4320,2490,0,1459,371,0.6622685185185185,41404,281844.7,0.5
66,NoControl,Primitive,0,30,0,40,40.0,0,4320,765,1,1505,2049,0.6513888888888889,41270,163905.3,1.0
67,NoControl,Jerk_Primitive,0,30,0,40,40.0,0,4320,3169,8,1124,19,0.7379629629629629,47102,189217.2,1.0
68,NoControl,MPC,0,30,0,40,40.0,0,4320,1408,0,2568,344,0.40555555555555556,39108,144742.90000000002,1.0
69,NoControl,Primitive,0,30,0,60,40.0,0,4320,169,0,2866,1285,0.3365740740740741,33282,80749.5,1.5
