Method,Planner,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
LookAhead,Jerk_Primitive,22,5,10,20,40,5,14.7,701,0,,1,0,0,0,0
LookAhead,Jerk_Primitive,23,5,10,20,40,5,15.0,743,1,7.0,1,0,0,0,0
LookAhead,Jerk_Primitive,24,5,10,20,40,5,3.9,215,1,1.9,0,0,1,0,0
LookAhead,Jerk_Primitive,25,5,10,20,40,5,14.7,706,1,4.1000000000000005,1,0,0,0,0
LookAhead,Jerk_Primitive,26,5,10,20,40,5,14.7,673,0,,1,0,0,0,0
LookAhead,Jerk_Primitive,27,5,10,20,40,5,15.2,738,2,4.65,1,0,0,0,0
LookAhead,Jerk_Primitive,28,5,10,20,40,5,14.9,678,3,5.266666666666667,1,0,0,0,0
LookAhead,Jerk_Primitive,29,5,10,20,40,5,14.7,669,3,5.466666666666666,1,0,0,0,0
LookAhead,Jerk_Primitive,0,5,10,40,20,5,8.200000000000001,239,1,0.6000000000000001,0,0,1,0,0
LookAhead,Jerk_Primitive,1,5,10,40,20,5,29.700000000000003,705,2,4.950000000000001,1,0,0,0,0
LookAhead,Jerk_Primitive,2,5,10,40,20,5,24.0,596,3,4.766666666666667,0,0,1,0,0
LookAhead,Jerk_Primitive,3,5,10,40,20,5,29.200000000000003,718,1,7.0,1,0,0,0,0
LookAhead,Jerk_Primitive,4,5,10,40,20,5,29.200000000000003,716,3,5.533333333333334,1,0,0,0,0
LookAhead,Jerk_Primitive,5,5,10,40,20,5,29.200000000000003,713,0,,1,0,0,0,0
LookAhead,Jerk_Primitive,6,5,10,40,20,5,30.4,740,3,5.233333333333333,1,0,0,0,0
LookAhead,Jerk_Primitive,7,5,10,40,20,5,29.6,661,3,6.733333333333334,1,0,0,0,0
LookAhead,Jerk_Primitive,8,5,10,40,20,5,29.3,704,0,,1,0,0,0,0
LookAhead,Jerk_Primitive,9,5,10,40,20,5,25.0,605,4,5.7250000000000005,0,0,1,0,0
LookAhead,Jerk_Primitive,10,5,10,40,20,5,30.0,712,3,6.133333333333334,1,0,0,0,0
LookAhead,Jerk_Primitive,11,5,10,40,20,5,2.6,102,1,0.6000000000000001,0,0,1,0,0
LookAhead,Jerk_Primitive,12,5,10,40,20,5,29.700000000000003,688,3,5.600000000000001,1,0,0,0,0
LookAhead,Jerk_Primitive,13,5,10,40,20,5,5.1000000000000005,145,1,1.6,0,0,1,0,0
LookAhead,Jerk_Primitive,14,5,10,40,20,5,14.8,387,2,3.0500000000000003,0,0,1,0,0
LookAhead,Jerk_Primitive,15,5,10,40,20,5,29.8,705,3,6.866666666666667,1,0,0,0,0
LookAhead,Jerk_Primitive,16,5,10,40,20,5,29.6,716,2,5.550000000000001,1,0,0,0,0
LookAhead,Jerk_Primitive,17,5,10,40,20,5,28.6,718,2,3.85,0,0,1,0,0
LookAhead,Jerk_Primitive,18,5,10,40,20,5,29.200000000000003,702,2,2.1500000000000004,1,0,0,0,0
LookAhead,Jerk_Primitive,19,5,10,40,20,5,14.3,382,1,1.8,0,0,1,0,0
LookAhead,Jerk_Primitive,20,5,10,40,20,5,17.900000000000002,453,1,1.2000000000000002,0,0,1,0,0
LookAhead,Jerk_Primitive,21,5,10,40,20,5,29.3,709,1,5.6000000000000005,1,0,0,0,0
