,metric
0,"[0.3703125000000002, 0.3067708333333335, 0.24739583333333337, 0.2875000000000001, 0.27708333333333346, 0.23151041666666672, 0.23750000000000004, 0.23046875, 0.22812500000000005, 0.24765625000000002, 0.21510416666666665, 0.18437499999999996, 0.14817708333333332, 0.2236979166666667, 0.17734375, 0.09453125, 0.14036458333333332, 0.16354166666666667, 0.20338541666666668, 0.21067708333333335, 0.18463541666666664, 0.09921874999999998, 0.16666666666666666, 0.1265625, 0.05520833333333334, 0.06354166666666666, 0.10807291666666669]"
1,"[0.34218750000000014, 0.27760416666666676, 0.23125000000000004, 0.2708333333333334, 0.2757812500000001, 0.21796875000000004, 0.2002604166666667, 0.2565104166666667, 0.2125, 0.20130208333333333, 0.165625, 0.13281250000000003, 0.1299479166666667, 0.14817708333333332, 0.2065104166666667, 0.08307291666666668, 0.15182291666666667, 0.14114583333333336, 0.18281250000000002, 0.16197916666666665, 0.13671875000000003, 0.055468750000000004, 0.1140625, 0.12526041666666665, 0.037760416666666664, 0.09166666666666667, 0.09687500000000003]"
2,"[0.32552083333333354, 0.34375000000000017, 0.2781250000000001, 0.3104166666666668, 0.3335937500000002, 0.26223958333333336, 0.25000000000000006, 0.27031250000000007, 0.22499999999999998, 0.18177083333333333, 0.20338541666666668, 0.16953125, 0.1513020833333333, 0.14322916666666669, 0.1278645833333333, 0.11692708333333335, 0.10963541666666665, 0.13671875, 0.1791666666666666, 0.14609374999999997, 0.14609375, 0.09635416666666667, 0.13151041666666666, 0.134375, 0.05833333333333334, 0.08385416666666667, 0.08020833333333337]"
3,"[0.31041666666666684, 0.2742187500000001, 0.23958333333333334, 0.20703125, 0.25000000000000006, 0.19296875, 0.1825520833333333, 0.20833333333333337, 0.1705729166666667, 0.24947916666666672, 0.20234375000000004, 0.1684895833333334, 0.16067708333333333, 0.18333333333333335, 0.13203125000000002, 0.12682291666666665, 0.1708333333333333, 0.11770833333333332, 0.14999999999999997, 0.14505208333333333, 0.08151041666666665, 0.09192708333333334, 0.08750000000000001, 0.10130208333333335, 0.06015625, 0.0890625, 0.08932291666666665]"
4,"[0.3135416666666668, 0.3223958333333335, 0.2627604166666668, 0.2510416666666668, 0.26875000000000016, 0.2653645833333334, 0.27552083333333344, 0.25338541666666675, 0.24036458333333333, 0.22942708333333336, 0.24010416666666676, 0.18437499999999998, 0.1489583333333333, 0.17005208333333333, 0.18828124999999998, 0.11562499999999999, 0.13723958333333333, 0.16015625, 0.14791666666666664, 0.1578125, 0.12421874999999999, 0.10703125000000001, 0.09088541666666666, 0.12135416666666667, 0.05911458333333333, 0.07135416666666666, 0.08619791666666665]"
