,metric
0,"[3.267863894139908, 3.1767485822306414, 3.0495274102079515, 3.1024574669187306, 2.9361058601134307, 2.7601134215500944, 2.990170132325152, 2.805293005671082, 2.60359168241966]"
1,"[3.2255198487712846, 3.0820415879017125, 2.9415879017013333, 3.027599243856348, 2.8226843100189107, 2.603780718336485, 2.9391304347826184, 2.7370510396975436, 2.5266540642722126]"
2,"[3.386767485822331, 3.2835538752363145, 3.1799621928166526, 3.0712665406427364, 2.8826086956521784, 2.7094517958412125, 2.89376181474481, 2.673724007561439, 2.45916824196597]"
3,"[3.275803402646522, 3.154820415879032, 3.041776937618162, 3.053497164461262, 2.870132325141786, 2.6873345935727806, 2.862003780718347, 2.7047258979206106, 2.521361058601132]"
4,"[3.3213610586011555, 3.1784499054820574, 3.0536862003780847, 3.1126654064272365, 2.931568998109649, 2.75973534971645, 2.9317580340264753, 2.705103969754258, 2.482041587901701]"
