,metric
0,"[2.9187145557656056, 2.752173913043486, 2.631568998109643, 2.70604914933838, 2.517769376181476, 2.323440453686199, 2.640075614366732, 2.4226843100189015, 2.1862003780718315]"
1,"[3.118147448015141, 3.0395085066162735, 2.946880907372415, 2.8083175803402756, 2.6928166351606855, 2.5567107750472586, 2.6654064272211753, 2.50756143667297, 2.3803402646502803]"
2,"[2.986956521739144, 2.8523629489603146, 2.7434782608695745, 2.8317580340264756, 2.708317580340268, 2.5640831758034044, 2.6189035916824244, 2.487334593572777, 2.3251417769376186]"
3,"[3.215122873345957, 3.171077504725917, 3.109073724007579, 2.906427221172035, 2.765028355387528, 2.6398865784499104, 2.7211720226843177, 2.580718336483936, 2.4156899810964076]"
4,"[2.9514177693761945, 2.85992438563328, 2.7561436672967914, 2.75103969754254, 2.573156899810968, 2.3342155009451755, 2.567485822306242, 2.4018903591682386, 2.188279773156894]"
