,metric
0,"[2.3375000000000012, 2.1359375000000003, 1.9921875000000002, 2.185937500000001, 2.0109375000000003, 1.8593750000000002, 2.2109375000000013, 1.9671875, 1.7124999999999997]"
1,"[2.643750000000002, 2.5390625000000018, 2.4328125000000007, 2.2328125000000014, 2.132812500000001, 2.0359375000000015, 2.1671875000000007, 1.9750000000000005, 1.8453125000000006]"
2,"[2.3703125000000016, 2.225000000000001, 2.0921875000000005, 2.278125000000001, 2.178125000000001, 2.065625000000001, 2.054687500000001, 1.942187500000001, 1.7796875000000005]"
3,"[2.8031250000000023, 2.815625000000002, 2.7734375000000018, 2.4609375000000018, 2.3765625000000012, 2.3015625000000015, 2.3171875000000015, 2.239062500000001, 2.0718750000000004]"
4,"[2.356250000000001, 2.2718750000000014, 2.1859375000000005, 2.1062500000000006, 1.9468750000000008, 1.7546875000000006, 1.9109375000000008, 1.79375, 1.5921875000000005]"
