Method,Planner,Motion Profile,Map ID,Agent size,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 40)","(40, 250)",7.6,281,1,0.6000000000000001,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 40)","(40, 460)",17.0,595,1,10.0,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 40)","(250, 40)",7.6,313,2,2.6500000000000004,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 40)","(250, 250)",12.6,414,2,4.7,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 40)","(250, 460)",15.8,591,1,7.300000000000001,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 40)","(460, 40)",15.6,529,3,6.733333333333334,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 40)","(460, 250)",17.0,664,4,5.375,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 40)","(460, 460)",23.9,766,4,7.975,0,0,1,0,0,3
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 250)","(40, 40)",11.3,347,1,7.4,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 250)","(40, 460)",13.7,324,1,4.1000000000000005,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 250)","(250, 40)",14.0,478,2,4.3500000000000005,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 250)","(250, 250)",7.6,337,1,3.8,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 250)","(250, 460)",12.6,396,1,4.1000000000000005,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 250)","(460, 40)",17.7,667,3,9.233333333333334,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 250)","(460, 250)",14.5,562,3,5.766666666666667,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 250)","(460, 460)",15.8,622,1,9.7,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 460)","(40, 40)",18.5,558,2,5.6000000000000005,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 460)","(40, 250)",8.9,345,1,4.9,1,0,0,0,0,1
LookAhead,Primitive,RVO,10,5,10,0,20,40,0,"(40, 460)","(250, 40)",18.3,691,5,6.62,1,0,0,0,0,1
