Method,Planner,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
Owl,Primitive,0,10,10,20,20,2,38.7,888,6,10.1,1,0,0,0,0
Owl,Primitive,1,10,10,20,20,2,39.5,939,5,8.4,1,0,0,0,0
Owl,Primitive,2,10,10,20,20,2,37.5,891,3,8.100000000000001,1,0,0,0,0
Owl,Primitive,3,10,10,20,20,2,37.1,982,2,8.9,1,0,0,0,0
Owl,Primitive,4,10,10,20,20,2,40.400000000000006,946,4,7.325,1,0,0,0,0
Owl,Primitive,5,10,10,20,20,2,22.3,587,2,5.1000000000000005,0,0,0,0,1
Owl,Primitive,6,10,10,20,20,2,37.5,925,4,5.375,1,0,0,0,0
Owl,Primitive,7,10,10,20,20,2,41.400000000000006,866,2,12.9,1,0,0,0,0
Owl,Primitive,8,10,10,20,20,2,42.1,938,4,3.925,1,0,0,0,0
Owl,Primitive,9,10,10,20,20,2,37.7,939,4,5.125,1,0,0,0,0
Owl,Primitive,10,10,10,20,20,2,39.400000000000006,928,5,10.84,1,0,0,0,0
Owl,Primitive,11,10,10,20,20,2,15.4,429,5,8.38,0,0,1,0,1
Owl,Primitive,12,10,10,20,20,2,5.2,172,2,3.9,0,0,0,0,1
Owl,Primitive,13,10,10,20,20,2,37.8,865,3,8.633333333333335,1,0,0,0,0
Owl,Primitive,14,10,10,20,20,2,12.1,380,5,5.9,0,0,1,0,0
Owl,Primitive,15,10,10,20,20,2,39.0,946,3,5.1000000000000005,1,0,0,0,0
Owl,Primitive,16,10,10,20,20,2,42.6,948,7,7.200000000000001,1,0,0,0,0
Owl,Primitive,17,10,10,20,20,2,41.900000000000006,974,4,5.75,1,0,0,0,0
Owl,Primitive,18,10,10,20,20,2,26.700000000000003,695,7,5.814285714285715,0,0,0,0,1
Owl,Primitive,19,10,10,20,20,2,38.5,929,4,7.875000000000001,1,0,0,0,0
Owl,Primitive,20,10,10,20,20,2,37.3,954,5,4.54,1,0,0,0,0
Owl,Primitive,21,10,10,20,20,2,38.1,911,4,7.85,1,0,0,0,0
Owl,Primitive,22,10,10,20,20,2,37.5,966,3,7.1000000000000005,1,0,0,0,0
Owl,Primitive,23,10,10,20,20,2,17.2,475,2,1.6,0,0,0,0,1
Owl,Primitive,24,10,10,20,20,2,32.1,801,3,6.333333333333333,0,0,0,0,1
Owl,Primitive,25,10,10,20,20,2,2.5,113,1,2.5,0,0,1,0,1
Owl,Primitive,26,10,10,20,20,2,33.7,783,6,6.7,0,0,1,0,0
Owl,Primitive,27,10,10,20,20,2,18.9,515,2,6.05,0,0,0,0,1
Owl,Primitive,28,10,10,20,20,2,40.900000000000006,970,7,9.914285714285716,1,0,0,0,0
Owl,Primitive,29,10,10,20,20,2,35.5,980,2,6.6000000000000005,1,0,0,0,0
Owl,Primitive,30,10,10,20,20,2,38.3,876,4,9.0,1,0,0,0,0
Owl,Primitive,31,10,10,20,20,2,21.0,521,4,6.8,0,0,1,0,0
Owl,Primitive,32,10,10,20,20,2,12.6,365,1,3.4000000000000004,0,0,1,0,0
Owl,Primitive,33,10,10,20,20,2,35.7,896,4,7.05,1,0,0,0,0
Owl,Primitive,34,10,10,20,20,2,36.1,888,4,8.675,1,0,0,0,0
Owl,Primitive,35,10,10,20,20,2,37.9,966,5,7.020000000000001,1,0,0,0,0
Owl,Primitive,36,10,10,20,20,2,1.0,94,0,,0,0,1,0,0
Owl,Primitive,37,10,10,20,20,2,1.2000000000000002,90,2,1.05,0,0,1,0,0
Owl,Primitive,38,10,10,20,20,2,0.2,38,1,0.2,0,0,1,0,0
Owl,Primitive,39,10,10,20,20,2,17.2,472,3,6.866666666666666,0,0,0,0,1
Owl,Primitive,40,10,10,20,20,2,24.1,583,4,5.65,0,0,0,0,1
