Method,Planner,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
NoControl,Primitive,0,10,10,20,20,0,39.3,1123,6,12.883333333333336,1,0,0,0,0
NoControl,Primitive,1,10,10,20,20,0,36.8,1047,7,11.6,1,0,0,0,0
NoControl,Primitive,2,10,10,20,20,0,37.8,1070,6,13.95,1,0,0,0,0
NoControl,Primitive,3,10,10,20,20,0,36.5,1035,6,13.200000000000005,1,0,0,0,0
NoControl,Primitive,4,10,10,20,20,0,38.900000000000006,1060,5,12.360000000000005,1,0,0,0,0
NoControl,Primitive,5,10,10,20,20,0,37.7,1098,7,14.271428571428572,1,0,0,0,0
NoControl,Primitive,6,10,10,20,20,0,39.6,1072,6,11.066666666666668,1,0,0,0,0
NoControl,Primitive,7,10,10,20,20,0,35.800000000000004,1040,4,13.975,1,0,0,0,0
NoControl,Primitive,8,10,10,20,20,0,36.6,1011,4,13.425000000000002,1,0,0,0,0
NoControl,Primitive,9,10,10,20,20,0,4.1000000000000005,203,2,2.9000000000000004,0,0,1,0,0
NoControl,Primitive,10,10,10,20,20,0,38.900000000000006,1097,8,14.85,1,0,0,0,0
NoControl,Primitive,11,10,10,20,20,0,37.4,1050,11,17.300000000000004,1,0,0,0,0
NoControl,Primitive,12,10,10,20,20,0,38.0,1050,6,16.116666666666667,1,0,0,0,0
NoControl,Primitive,13,10,10,20,20,0,38.5,1115,5,15.920000000000002,1,0,0,0,0
NoControl,Primitive,14,10,10,20,20,0,38.2,1100,8,17.012500000000003,1,0,0,0,0
NoControl,Primitive,15,10,10,20,20,0,37.1,1090,4,16.475,1,0,0,0,0
NoControl,Primitive,16,10,10,20,20,0,36.0,1039,7,8.742857142857144,1,0,0,0,0
NoControl,Primitive,17,10,10,20,20,0,37.1,1054,6,11.416666666666666,1,0,0,0,0
NoControl,Primitive,18,10,10,20,20,0,37.3,1030,7,10.057142857142855,1,0,0,0,0
NoControl,Primitive,19,10,10,20,20,0,38.1,1048,9,13.522222222222224,1,0,0,0,0
NoControl,Primitive,20,10,10,20,20,0,37.6,1079,6,13.783333333333331,1,0,0,0,0
NoControl,Primitive,21,10,10,20,20,0,37.5,1075,6,12.866666666666667,1,0,0,0,0
NoControl,Primitive,22,10,10,20,20,0,37.3,1034,4,13.175,1,0,0,0,0
NoControl,Primitive,23,10,10,20,20,0,38.7,1042,6,15.916666666666666,1,0,0,0,0
NoControl,Primitive,24,10,10,20,20,0,35.9,1044,6,13.516666666666667,1,0,0,0,0
NoControl,Primitive,25,10,10,20,20,0,39.7,1098,6,14.35,1,0,0,0,0
NoControl,Primitive,26,10,10,20,20,0,39.400000000000006,1057,5,17.32,1,0,0,0,0
NoControl,Primitive,27,10,10,20,20,0,38.8,1111,8,13.6125,1,0,0,0,0
NoControl,Primitive,28,10,10,20,20,0,40.0,1102,10,11.760000000000002,1,0,0,0,0
NoControl,Primitive,29,10,10,20,20,0,38.1,1054,6,13.733333333333334,1,0,0,0,0
NoControl,Primitive,30,10,10,20,20,0,36.5,1074,9,13.544444444444444,1,0,0,0,0
NoControl,Primitive,31,10,10,20,20,0,38.8,1055,8,13.849999999999998,1,0,0,0,0
NoControl,Primitive,32,10,10,20,20,0,37.3,1016,8,10.8125,1,0,0,0,0
NoControl,Primitive,33,10,10,20,20,0,36.4,1016,3,11.566666666666668,1,0,0,0,0
NoControl,Primitive,34,10,10,20,20,0,37.8,1054,5,9.1,1,0,0,0,0
NoControl,Primitive,35,10,10,20,20,0,13.1,386,2,8.700000000000001,0,1,0,0,0
NoControl,Primitive,36,10,10,20,20,0,38.2,1028,4,16.9,1,0,0,0,0
NoControl,Primitive,37,10,10,20,20,0,0.8,97,2,0.8,0,0,0,0,1
NoControl,Primitive,38,10,10,20,20,0,0.2,80,2,0.15,0,0,1,0,0
NoControl,Primitive,39,10,10,20,20,0,36.0,1106,5,14.220000000000002,1,0,0,0,0
NoControl,Primitive,40,10,10,20,20,0,38.900000000000006,1030,5,15.06,1,0,0,0,0
