Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 40)","(40, 250)",9.8,363,1,4.0,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 40)","(40, 460)",12.9,515,2,3.05,0,0,1,0,0,3
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 40)","(250, 40)",7.6,313,0,,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 40)","(250, 250)",12.2,417,1,6.1000000000000005,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 40)","(250, 460)",18.8,679,4,7.475,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 40)","(460, 40)",16.8,575,1,9.1,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 40)","(460, 250)",25.1,758,3,7.266666666666667,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 40)","(460, 460)",27.5,828,3,12.633333333333336,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 250)","(40, 40)",8.0,327,1,7.0,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 250)","(40, 460)",7.6,256,0,,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 250)","(250, 40)",14.0,523,2,7.95,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 250)","(250, 250)",7.6,335,2,5.0,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 250)","(250, 460)",12.6,395,2,5.35,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 250)","(460, 40)",20.0,635,2,10.95,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 250)","(460, 250)",18.5,575,4,7.325,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 250)","(460, 460)",19.1,658,5,9.62,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 460)","(40, 40)",19.1,581,1,10.5,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 460)","(40, 250)",8.0,312,0,,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 460)","(250, 40)",16.0,647,2,6.200000000000001,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 460)","(250, 250)",14.0,462,1,6.0,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 460)","(250, 460)",9.4,317,3,2.566666666666667,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 460)","(460, 40)",19.8,729,3,9.3,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 460)","(460, 250)",20.3,671,4,11.675,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(40, 460)","(460, 460)",15.4,532,3,8.566666666666668,0,0,1,0,0,3
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 40)","(40, 40)",8.0,291,0,,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 40)","(40, 250)",14.0,433,1,6.300000000000001,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 40)","(40, 460)",16.2,612,1,2.5,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 40)","(250, 250)",7.6,304,1,1.3,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 40)","(250, 460)",18.1,576,3,10.166666666666666,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 40)","(460, 40)",7.6,291,1,5.0,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,"(250, 40)","(460, 250)",12.6,396,0,,1,0,0,0,0,1
