Method,Number of agents,Number of pillars,View depth,View range,Agent speed,Drone speed,Yaw speed,Success,Static Collision,Dynamic Collision
Oxford,5,10,80,90,20,30,80,165,42,22
Oxford,5,10,80,90,20,40,80,204,43,23
Oxford,5,10,80,90,30,30,80,115,26,29
LookAhead,5,10,80,90,20,30,80,176,0,9
LookAhead,5,10,80,90,20,40,80,223,3,15
LookAhead,5,10,80,90,30,30,80,175,1,22
LookAhead,5,10,80,90,30,40,80,217,1,24
LookAhead,5,15,80,90,20,30,80,153,2,11
LookAhead,5,15,80,90,20,40,80,207,2,9
LookAhead,5,15,80,90,30,30,80,160,0,26
LookAhead,5,15,80,90,30,40,80,190,6,21
LookAhead,10,10,80,90,20,30,80,171,2,20
LookAhead,10,10,80,90,20,40,80,214,7,20
LookAhead,10,10,80,90,30,30,80,161,0,51
LookAhead,10,10,80,90,30,40,80,192,2,60
LookAhead,10,15,80,90,20,30,80,149,1,27
LookAhead,10,15,80,90,20,40,80,185,2,18
LookAhead,10,15,80,90,30,30,80,73,1,20
LookAhead,10,15,80,90,30,40,80,99,1,30
LookAhead,5,10,80,90,20,20,80,145,0,10
LookAhead,5,15,80,90,20,20,80,138,0,15
LookAhead,10,10,80,90,20,20,80,138,0,17
LookAhead,10,15,80,90,20,20,80,126,1,18
Oxford,5,10,80,90,20,20,80,76,8,3
Oxford,5,10,80,90,30,20,80,69,8,13
Oxford,5,10,80,90,30,40,80,92,25,14
Oxford,5,15,80,90,20,20,80,67,11,14
Oxford,5,15,80,90,20,30,80,76,18,11
Oxford,5,15,80,90,20,40,80,88,32,14
Oxford,5,15,80,90,30,20,80,59,17,22
Oxford,5,15,80,90,30,30,80,71,38,16
Oxford,5,15,80,90,30,40,80,78,50,15
Oxford,10,10,80,90,20,20,80,69,13,17
Oxford,10,10,80,90,20,30,80,76,22,21
Oxford,10,10,80,90,20,40,80,89,32,15
Oxford,10,10,80,90,30,20,80,53,16,26
Oxford,10,10,80,90,30,30,80,72,20,37
Oxford,10,10,80,90,30,40,80,86,25,34
Oxford,10,15,80,90,20,20,80,62,12,18
Oxford,10,15,80,90,20,30,80,76,25,13
Oxford,10,15,80,90,20,40,80,74,46,25
Oxford,10,15,80,90,30,20,80,92,21,39
LookAhead,5,10,80,90,30,20,80,65,0,14
LookAhead,5,15,80,90,30,20,80,63,0,17
LookAhead,10,10,80,90,30,20,80,62,0,26
LookAhead,10,15,80,90,30,20,80,61,0,24
NoControl,5,10,80,360,20,20,80,75,0,4
NoControl,5,10,80,360,20,30,80,97,0,2
NoControl,5,10,80,360,20,40,80,111,2,1
NoControl,5,10,80,360,30,20,80,75,0,3
NoControl,5,10,80,360,30,30,80,92,1,6
NoControl,5,10,80,360,30,40,80,103,2,3
NoControl,5,15,80,360,20,20,80,71,0,3
NoControl,5,15,80,360,20,30,80,90,0,3
NoControl,5,15,80,360,20,40,80,91,3,4
NoControl,5,15,80,360,30,20,80,70,1,2
NoControl,5,15,80,360,30,30,80,79,0,6
NoControl,5,15,80,360,30,40,80,90,0,8
NoControl,10,10,80,360,20,20,80,68,0,8
NoControl,10,10,80,360,20,30,80,86,1,9
NoControl,10,10,80,360,20,40,80,101,0,7
NoControl,10,10,80,360,30,20,80,70,0,9
NoControl,10,10,80,360,30,30,80,85,0,11
NoControl,10,10,80,360,30,40,80,92,3,10
NoControl,10,15,80,360,20,20,80,67,0,3
NoControl,10,15,80,360,20,30,80,78,4,11
NoControl,10,15,80,360,20,40,80,87,1,8
NoControl,10,15,80,360,30,20,80,66,0,10
Oxford,10,15,80,90,30,30,80,64,27,37
NoControl,10,15,80,360,30,30,80,80,1,13
Oxford,10,15,80,90,30,40,80,70,46,34
NoControl,10,15,80,360,30,40,80,83,2,14
Rotating,5,5,80,90,20,20,80,305,4,51
Rotating,15,5,80,90,30,40,80,36,6,33
Rotating,5,5,80,90,20,40,80,113,28,18
Rotating,5,5,80,90,30,40,80,96,21,30
Rotating,10,10,80,90,20,30,80,80,16,29
Rotating,10,5,80,90,30,20,80,60,0,49
Rotating,10,10,80,90,30,20,80,48,7,53
Rotating,5,5,80,90,30,20,80,75,2,22
Rotating,15,5,80,90,30,30,80,36,2,31
Rotating,10,5,80,90,30,40,80,97,27,54
Rotating,5,5,80,90,30,30,80,91,11,31
Rotating,15,5,80,90,20,40,80,52,11,25
Rotating,5,5,80,90,20,30,80,96,6,14
Rotating,5,10,80,90,20,30,80,89,15,11
Rotating,15,5,80,90,30,20,80,31,0,39
Rotating,10,10,80,90,20,40,80,93,44,37
Rotating,5,10,80,90,20,20,80,72,8,15
Rotating,10,10,80,90,30,30,80,72,21,57
Rotating,15,5,80,90,20,30,80,46,0,20
Rotating,15,10,80,90,30,40,80,40,15,28
Rotating,5,10,80,90,20,40,80,95,33,18
Rotating,10,5,80,90,20,20,80,66,1,30
Rotating,10,10,80,90,30,40,80,88,36,42
Rotating,15,10,80,90,30,30,80,26,6,26
Rotating,15,10,80,90,20,30,80,37,4,22
Rotating,5,10,80,90,30,20,80,65,4,29
Rotating,10,5,80,90,20,40,80,101,27,36
Rotating,5,10,80,90,30,30,80,83,17,33
Rotating,10,5,80,90,20,30,80,92,7,24
Rotating,15,5,80,90,20,20,80,43,1,20
Rotating,15,10,80,90,30,20,80,29,0,27
Rotating,10,10,80,90,20,20,80,63,2,25
Rotating,10,5,80,90,30,30,80,84,7,46
Rotating,15,10,80,90,20,40,80,41,17,24
Rotating,15,10,80,90,20,20,80,34,1,16
Rotating,5,10,80,90,30,40,80,92,31,22
