Method,Planner,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
Owl,Primitive,0,10,10,20,20,0,16.3,445,2,6.1000000000000005,0,0,1,0,1
Owl,Primitive,1,10,10,20,20,0,37.1,895,6,11.300000000000002,1,0,0,0,0
Owl,Primitive,2,10,10,20,20,0,38.6,969,5,13.360000000000005,1,0,0,0,0
Owl,Primitive,3,10,10,20,20,0,37.8,968,5,11.52,1,0,0,0,0
Owl,Primitive,4,10,10,20,20,0,37.0,868,3,16.0,1,0,0,0,0
Owl,Primitive,5,10,10,20,20,0,41.400000000000006,837,8,14.2125,1,0,0,0,0
Owl,Primitive,6,10,10,20,20,0,40.900000000000006,919,5,11.080000000000002,1,0,0,0,0
Owl,Primitive,7,10,10,20,20,0,40.3,884,4,13.35,1,0,0,0,0
Owl,Primitive,8,10,10,20,20,0,14.2,406,3,3.2000000000000006,0,0,0,0,1
Owl,Primitive,9,10,10,20,20,0,4.6000000000000005,177,2,2.8000000000000003,0,0,1,0,0
Owl,Primitive,10,10,10,20,20,0,39.8,858,6,17.083333333333332,1,0,0,0,0
Owl,Primitive,11,10,10,20,20,0,39.1,857,9,18.577777777777783,1,0,0,0,0
Owl,Primitive,12,10,10,20,20,0,38.0,877,6,14.766666666666667,1,0,0,0,0
Owl,Primitive,13,10,10,20,20,0,11.8,340,2,3.2,0,0,1,0,0
Owl,Primitive,14,10,10,20,20,0,38.0,864,5,19.8,1,0,0,0,0
Owl,Primitive,15,10,10,20,20,0,37.8,981,4,12.15,1,0,0,0,0
Owl,Primitive,16,10,10,20,20,0,36.7,888,7,8.657142857142857,1,0,0,0,0
Owl,Primitive,17,10,10,20,20,0,37.7,920,6,11.2,1,0,0,0,0
Owl,Primitive,18,10,10,20,20,0,37.3,969,6,8.833333333333334,1,0,0,0,0
Owl,Primitive,19,10,10,20,20,0,13.1,361,1,12.9,0,0,1,0,0
Owl,Primitive,20,10,10,20,20,0,39.3,993,5,10.340000000000002,1,0,0,0,0
Owl,Primitive,21,10,10,20,20,0,31.3,819,5,10.66,0,0,1,0,0
Owl,Primitive,22,10,10,20,20,0,37.3,949,3,13.933333333333335,1,0,0,0,0
Owl,Primitive,23,10,10,20,20,0,36.7,854,5,12.720000000000002,1,0,0,0,0
Owl,Primitive,24,10,10,20,20,0,36.9,899,6,14.233333333333334,1,0,0,0,0
Owl,Primitive,25,10,10,20,20,0,2.5,113,1,2.5,0,0,1,0,1
Owl,Primitive,26,10,10,20,20,0,36.8,897,5,16.34,1,0,0,0,0
Owl,Primitive,27,10,10,20,20,0,39.1,980,8,11.9375,1,0,0,0,0
Owl,Primitive,28,10,10,20,20,0,27.6,685,9,4.844444444444445,0,0,0,0,1
Owl,Primitive,29,10,10,20,20,0,36.3,984,4,13.725,1,0,0,0,0
Owl,Primitive,30,10,10,20,20,0,19.700000000000003,481,5,5.820000000000001,0,0,0,0,1
Owl,Primitive,31,10,10,20,20,0,39.8,803,7,15.2,1,0,0,0,0
Owl,Primitive,32,10,10,20,20,0,37.3,937,7,8.714285714285715,1,0,0,0,0
Owl,Primitive,33,10,10,20,20,0,36.4,934,2,9.5,1,0,0,0,0
Owl,Primitive,34,10,10,20,20,0,37.8,839,4,9.425,1,0,0,0,0
Owl,Primitive,35,10,10,20,20,0,13.1,351,2,8.55,0,1,0,0,0
Owl,Primitive,36,10,10,20,20,0,37.2,883,2,23.55,1,0,0,0,0
Owl,Primitive,37,10,10,20,20,0,1.2000000000000002,90,2,1.05,0,0,1,0,0
Owl,Primitive,38,10,10,20,20,0,0.2,38,1,0.2,0,0,1,0,0
Owl,Primitive,39,10,10,20,20,0,36.0,960,5,11.12,1,0,0,0,0
Owl,Primitive,40,10,10,20,20,0,22.4,511,4,5.525,0,0,1,0,0
Owl,Primitive,41,10,10,20,20,0,34.5,865,6,12.65,0,0,0,0,1
Owl,Primitive,42,10,10,20,20,0,37.8,886,5,8.180000000000001,1,0,0,0,0
Owl,Primitive,43,10,10,20,20,0,6.0,202,1,0.8,0,0,0,0,1
Owl,Primitive,44,10,10,20,20,0,36.3,883,9,9.655555555555557,1,0,0,0,0
Owl,Primitive,45,10,10,20,20,0,40.2,925,5,11.68,1,0,0,0,0
Owl,Primitive,46,10,10,20,20,0,37.1,848,3,14.5,1,0,0,0,0
Owl,Primitive,47,10,10,20,20,0,40.8,903,6,10.016666666666667,1,0,0,0,0
Owl,Primitive,48,10,10,20,20,0,38.7,978,7,12.457142857142856,1,0,0,0,0
Owl,Primitive,49,10,10,20,20,0,38.900000000000006,859,5,10.1,1,0,0,0,0
Owl,Primitive,50,10,10,20,20,0,38.3,911,3,9.3,1,0,1,0,0
Owl,Primitive,51,10,10,20,20,0,4.3,167,2,2.55,0,0,0,0,1
Owl,Primitive,52,10,10,20,20,0,41.0,901,6,14.033333333333337,1,0,0,0,0
Owl,Primitive,53,10,10,20,20,0,19.1,436,5,8.76,0,0,0,0,1
Owl,Primitive,54,10,10,20,20,0,42.6,917,6,13.083333333333334,1,0,0,0,0
Owl,Primitive,55,10,10,20,20,0,37.9,889,4,9.875,1,0,0,0,0
Owl,Primitive,56,10,10,20,20,0,37.8,896,4,9.2,1,0,0,0,0
Owl,Primitive,57,10,10,20,20,0,1.2000000000000002,81,1,1.0,0,0,0,0,1
Owl,Primitive,58,10,10,20,20,0,39.0,948,8,8.425,1,0,0,0,0
Owl,Primitive,59,10,10,20,20,0,38.8,874,4,16.400000000000002,1,0,0,0,0
Owl,Primitive,0,10,10,20,40,0,15.4,626,4,6.325,0,0,1,0,0
Owl,Primitive,1,10,10,20,40,0,23.4,760,5,9.7,1,0,0,0,0
Owl,Primitive,2,10,10,20,40,0,23.5,844,4,8.25,1,0,0,0,0
Owl,Primitive,3,10,10,20,40,0,22.200000000000003,821,3,13.366666666666667,1,0,0,0,0
Owl,Primitive,4,10,10,20,40,0,24.0,887,5,11.9,1,0,0,0,0
Owl,Primitive,5,10,10,20,40,0,21.5,810,4,6.75,1,0,0,0,0
Owl,Primitive,6,10,10,20,40,0,21.6,854,3,3.966666666666667,1,0,0,0,0
Owl,Primitive,7,10,10,20,40,0,26.0,830,5,10.44,1,0,0,0,0
Owl,Primitive,8,10,10,20,40,0,23.5,885,2,13.65,1,0,0,0,0
Owl,Primitive,9,10,10,20,40,0,25.0,840,3,8.833333333333334,1,0,0,0,0
Owl,Primitive,10,10,10,20,40,0,25.0,793,3,13.433333333333332,1,0,0,0,0
Owl,Primitive,11,10,10,20,40,0,29.9,929,5,20.92,1,0,0,0,0
Owl,Primitive,12,10,10,20,40,0,24.1,777,6,12.883333333333336,1,0,0,0,0
Owl,Primitive,13,10,10,20,40,0,21.5,834,6,8.933333333333334,1,0,0,0,0
Owl,Primitive,14,10,10,20,40,0,25.8,768,6,16.0,1,0,0,0,0
Owl,Primitive,15,10,10,20,40,0,23.200000000000003,844,1,9.5,1,0,0,0,0
Owl,Primitive,16,10,10,20,40,0,29.6,962,5,8.739999999999998,1,0,0,0,0
Owl,Primitive,17,10,10,20,40,0,22.200000000000003,868,1,9.8,1,0,0,0,0
Owl,Primitive,18,10,10,20,40,0,26.5,933,5,11.960000000000004,1,0,0,0,0
Owl,Primitive,19,10,10,20,40,0,24.4,871,3,13.066666666666668,1,0,0,0,0
Owl,Primitive,20,10,10,20,40,0,22.3,738,2,13.1,1,0,0,0,0
Owl,Primitive,21,10,10,20,40,0,23.9,836,4,9.425,1,0,0,0,0
Owl,Primitive,22,10,10,20,40,0,21.700000000000003,811,3,9.9,1,0,0,0,0
Owl,Primitive,23,10,10,20,40,0,22.4,837,3,10.466666666666669,1,0,0,0,0
Owl,Primitive,24,10,10,20,40,0,23.700000000000003,746,4,13.550000000000002,1,0,0,0,0
Owl,Primitive,25,10,10,20,40,0,1.9,120,1,1.9,0,0,1,0,0
Owl,Primitive,26,10,10,20,40,0,27.1,797,5,15.62,1,0,0,0,0
Owl,Primitive,27,10,10,20,40,0,21.0,792,5,8.940000000000001,1,0,0,0,0
Owl,Primitive,28,10,10,20,40,0,22.1,842,3,4.066666666666666,1,0,0,0,0
Owl,Primitive,29,10,10,20,40,0,22.8,871,5,7.360000000000001,1,0,0,0,0
Owl,Primitive,30,10,10,20,40,0,22.8,820,4,8.55,1,0,0,0,0
Owl,Primitive,31,10,10,20,40,0,11.5,380,2,5.8500000000000005,0,1,0,0,0
Owl,Primitive,32,10,10,20,40,0,27.5,900,3,9.133333333333336,1,0,0,0,0
Owl,Primitive,33,10,10,20,40,0,23.9,816,5,8.92,1,0,0,0,0
Owl,Primitive,34,10,10,20,40,0,22.3,723,5,11.960000000000004,1,0,0,0,0
Owl,Primitive,35,10,10,20,40,0,25.200000000000003,949,5,12.12,1,0,0,0,0
Owl,Primitive,36,10,10,20,40,0,22.6,906,4,9.075,1,0,0,0,0
Owl,Primitive,37,10,10,20,40,0,1.1,86,2,0.95,0,0,1,0,0
Owl,Primitive,38,10,10,20,40,0,0.2,38,1,0.2,0,0,1,0,0
Owl,Primitive,39,10,10,20,40,0,23.4,812,4,13.0,1,0,0,0,0
