Method,Planner,Motion Profile,Map ID,Agent size,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(40, 250)",10.2,249,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(40, 460)",20.700000000000003,440,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(250, 40)",10.3,314,1,1.7000000000000002,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(250, 250)",20.4,430,2,8.25,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(250, 460)",21.9,616,2,12.55,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(460, 40)",21.200000000000003,531,3,8.133333333333335,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(460, 250)",20.9,617,2,11.55,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(460, 460)",38.5,731,3,13.133333333333333,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(40, 40)",10.2,278,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(40, 460)",7.0,193,3,0.8999999999999999,0,0,1,0,0,2
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(250, 40)",19.3,428,3,7.066666666666667,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(250, 250)",10.2,337,1,8.1,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(250, 460)",19.3,385,1,8.6,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(460, 40)",21.8,665,3,9.666666666666666,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(460, 250)",20.8,586,3,7.466666666666666,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(460, 460)",20.9,601,3,6.766666666666667,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 460)","(40, 40)",22.8,481,2,2.6500000000000004,0,0,1,0,0,2
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 460)","(40, 250)",10.2,259,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 460)","(250, 40)",22.3,673,3,7.333333333333333,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 460)","(250, 250)",18.0,413,2,8.350000000000001,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,15,5,10,0,20,20,0,"(40, 460)","(250, 460)",10.2,258,0,,1,0,0,0,0,1
