Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,Jerk_Primitive,CVM,0,10,10,20,40,0,14.8,703,4,7.175,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,1,10,10,20,40,0,14.7,716,5,5.180000000000001,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,2,10,10,20,40,0,14.7,688,3,8.266666666666667,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,3,10,10,20,40,0,16.0,733,7,5.657142857142857,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,4,10,10,20,40,0,14.7,714,1,10.3,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,10,40,40,0,14.8,713,3,5.333333333333333,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,1,10,10,40,40,0,14.7,712,5,6.14,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,2,10,10,40,40,0,15.4,788,6,6.783333333333334,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,3,10,10,40,40,0,14.8,728,4,6.375,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,4,10,10,40,40,0,14.7,714,3,4.366666666666666,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,10,60,40,0,14.9,710,4,4.450000000000001,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,1,10,10,60,40,0,14.8,716,3,5.366666666666667,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,2,10,10,60,40,0,14.7,669,7,4.828571428571428,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,3,10,10,60,40,0,14.7,710,4,5.000000000000001,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,4,10,10,60,40,0,14.7,729,3,3.4,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,20,10,20,40,0,14.8,697,4,6.8,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,1,20,10,20,40,0,14.7,702,6,5.500000000000001,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,2,20,10,20,40,0,14.7,673,8,6.862500000000001,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,3,20,10,20,40,0,14.7,679,7,6.528571428571429,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,4,20,10,20,40,0,14.7,714,3,5.333333333333333,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,20,10,40,40,0,11.5,558,2,3.2500000000000004,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,1,20,10,40,40,0,15.3,727,8,5.825000000000001,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,2,20,10,40,40,0,14.8,700,5,6.779999999999999,1,0,0,0,0,1
