Method,Planner,Motion Profile,Map ID,Agent size,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
Owl,Jerk_Primitive,CVM,5,5,10,0,20,40,0,"(40, 40)","(40, 250)",5.300000000000001,228,1,3.3000000000000003,1,0,0,0,0,1
Owl,Jerk_Primitive,CVM,5,5,10,0,20,40,0,"(40, 40)","(40, 460)",10.5,390,1,8.5,1,0,0,0,0,1
Owl,Jerk_Primitive,CVM,5,5,10,0,20,40,0,"(40, 40)","(250, 40)",5.2,307,1,0.2,1,0,0,0,0,1
Owl,Jerk_Primitive,CVM,5,5,10,0,20,40,0,"(40, 40)","(250, 250)",6.9,381,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,CVM,5,5,10,0,20,40,0,"(40, 40)","(250, 460)",10.5,514,3,3.566666666666667,1,0,0,0,0,1
Owl,Jerk_Primitive,CVM,5,5,10,0,20,40,0,"(40, 40)","(460, 40)",10.5,516,3,2.266666666666667,1,0,0,0,0,1
Owl,Jerk_Primitive,CVM,5,5,10,0,20,40,0,"(40, 40)","(460, 250)",10.5,574,2,5.65,1,0,0,0,0,1
Owl,Jerk_Primitive,CVM,5,5,10,0,20,40,0,"(40, 40)","(460, 460)",13.9,680,1,6.7,1,0,0,0,0,1
Owl,Jerk_Primitive,CVM,5,5,10,0,20,40,0,"(40, 250)","(40, 40)",5.2,273,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,CVM,5,5,10,0,20,40,0,"(40, 250)","(40, 460)",5.2,192,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,CVM,5,5,10,0,20,40,0,"(40, 250)","(250, 40)",6.9,439,2,0.6000000000000001,1,0,0,0,0,1
Owl,Jerk_Primitive,CVM,5,5,10,0,20,40,0,"(40, 250)","(250, 250)",5.2,308,0,,1,0,0,0,0,1
Owl,Jerk_Primitive,CVM,5,5,10,0,20,40,0,"(40, 250)","(250, 460)",6.9,374,3,3.0,1,0,0,0,0,1
Owl,Jerk_Primitive,CVM,5,5,10,0,20,40,0,"(40, 250)","(460, 40)",10.5,614,1,3.3000000000000003,1,0,0,0,0,1
Owl,Jerk_Primitive,CVM,5,5,10,0,20,40,0,"(40, 250)","(460, 250)",10.4,512,2,4.1000000000000005,1,0,0,0,0,1
