Method,Planner,Motion Profile,Map ID,Agent size,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 40)","(40, 250)",14.5,327,1,8.1,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 40)","(40, 460)",26.5,540,3,8.333333333333334,0,0,1,0,0,3
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 40)","(250, 40)",13.6,337,0,,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 40)","(250, 250)",18.7,479,4,6.325,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 40)","(250, 460)",23.0,581,4,8.975000000000001,0,0,1,0,0,3
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 40)","(460, 40)",27.200000000000003,584,5,3.3800000000000003,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 40)","(460, 250)",25.0,760,2,8.15,0,0,1,0,0,3
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 40)","(460, 460)",34.2,834,4,12.925,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 250)","(40, 40)",13.7,323,0,,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 250)","(40, 460)",13.6,287,0,,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 250)","(250, 40)",17.900000000000002,554,1,2.9000000000000004,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 250)","(250, 250)",13.4,396,2,2.95,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 250)","(250, 460)",17.400000000000002,458,2,4.65,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 250)","(460, 40)",26.8,697,3,12.066666666666668,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 250)","(460, 250)",26.700000000000003,612,7,7.1000000000000005,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 250)","(460, 460)",29.9,773,6,9.233333333333334,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 460)","(40, 40)",28.200000000000003,521,2,5.550000000000001,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 460)","(40, 250)",13.7,288,1,4.6000000000000005,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 460)","(250, 40)",28.3,762,5,5.7,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 460)","(250, 250)",12.9,357,4,2.85,0,0,1,0,0,3
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 460)","(250, 460)",19.0,388,4,6.675000000000001,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 460)","(460, 40)",37.3,953,6,9.066666666666668,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 460)","(460, 250)",27.1,731,4,6.625,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(40, 460)","(460, 460)",30.4,630,3,11.333333333333334,1,0,0,0,0,1
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(250, 40)","(40, 40)",12.0,302,3,2.5333333333333337,0,0,1,0,0,2
Owl,Primitive,RVO,5,5,10,0,20,20,0,"(250, 40)","(40, 250)",17.900000000000002,538,1,9.6,1,0,0,0,0,1
