Method,Planner,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
Oxford,Primitive,0,10,10,20,20,5,27.9,708,7,6.6571428571428575,0,0,1,0,0
Oxford,Primitive,1,10,10,20,20,5,38.7,977,6,8.666666666666666,1,0,0,0,0
Oxford,Primitive,2,10,10,20,20,5,35.6,932,3,6.333333333333333,1,0,0,0,0
Oxford,Primitive,3,10,10,20,20,5,36.8,1009,3,7.100000000000001,1,0,0,0,0
Oxford,Primitive,4,10,10,20,20,5,38.1,983,5,4.42,1,0,0,0,0
Oxford,Primitive,5,10,10,20,20,5,22.3,601,2,6.5,0,0,1,0,0
Oxford,Primitive,6,10,10,20,20,5,34.9,941,5,6.380000000000001,0,0,0,0,1
Oxford,Primitive,7,10,10,20,20,5,2.1,105,1,2.1,0,0,1,0,0
Oxford,Primitive,8,10,10,20,20,5,15.2,426,3,5.766666666666667,0,0,0,0,1
Oxford,Primitive,9,10,10,20,20,5,36.2,988,5,8.459999999999999,1,0,0,0,0
Oxford,Primitive,10,10,10,20,20,5,16.8,448,2,9.35,0,0,0,0,1
Oxford,Primitive,11,10,10,20,20,5,37.2,968,6,13.050000000000002,1,0,0,0,0
Oxford,Primitive,12,10,10,20,20,5,5.300000000000001,170,2,2.7,0,0,0,0,1
Oxford,Primitive,13,10,10,20,20,5,38.5,957,5,9.12,1,0,0,0,0
Oxford,Primitive,14,10,10,20,20,5,9.2,298,3,6.6000000000000005,0,0,1,0,0
Oxford,Primitive,15,10,10,20,20,5,38.0,978,3,12.300000000000002,1,0,0,0,0
Oxford,Primitive,16,10,10,20,20,5,9.8,308,3,3.4333333333333336,0,0,1,0,0
Oxford,Primitive,17,10,10,20,20,5,27.9,699,2,4.7,0,1,0,0,0
Oxford,Primitive,18,10,10,20,20,5,27.200000000000003,684,7,6.028571428571429,0,0,1,0,0
Oxford,Primitive,19,10,10,20,20,5,38.900000000000006,986,4,8.475,1,0,0,0,0
Oxford,Primitive,20,10,10,20,20,5,38.1,946,4,7.225000000000001,1,0,0,0,0
Oxford,Primitive,21,10,10,20,20,5,23.1,560,2,7.0,0,0,1,0,0
Oxford,Primitive,22,10,10,20,20,5,42.400000000000006,974,4,6.825,1,0,0,0,0
Oxford,Primitive,23,10,10,20,20,5,17.0,473,2,1.5500000000000005,0,0,0,0,1
Oxford,Primitive,24,10,10,20,20,5,33.800000000000004,876,3,4.9,0,0,1,0,0
Oxford,Primitive,25,10,10,20,20,5,2.6,111,1,2.6,0,0,1,0,0
Oxford,Primitive,26,10,10,20,20,5,35.800000000000004,889,6,8.950000000000001,1,0,0,0,0
Oxford,Primitive,27,10,10,20,20,5,24.1,662,5,6.08,0,0,0,0,1
Oxford,Primitive,28,10,10,20,20,5,22.6,571,3,5.466666666666666,0,0,1,0,0
Oxford,Primitive,29,10,10,20,20,5,35.5,999,2,10.5,1,0,0,0,0
Oxford,Primitive,30,10,10,20,20,5,37.5,955,8,6.4125000000000005,1,0,0,0,0
Oxford,Primitive,31,10,10,20,20,5,21.4,510,4,7.025,0,0,1,0,0
