Method,Planner,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
LookAhead,Primitive,0,10,10,20,20,0,26.5,534,4,11.075,0,0,0,0,1
LookAhead,Primitive,1,10,10,20,20,0,36.9,705,4,10.85,1,0,0,0,0
LookAhead,Primitive,2,10,10,20,20,0,37.5,744,4,12.95,1,0,0,0,0
LookAhead,Primitive,3,10,10,20,20,0,36.5,717,2,14.55,1,0,0,0,0
LookAhead,Primitive,4,10,10,20,20,0,38.1,747,4,13.775,1,0,0,0,0
LookAhead,Primitive,5,10,10,20,20,0,41.900000000000006,844,8,13.825,1,0,0,0,0
LookAhead,Primitive,6,10,10,20,20,0,37.3,709,5,8.24,1,0,0,0,0
LookAhead,Primitive,7,10,10,20,20,0,39.0,692,3,13.566666666666668,1,0,0,0,0
LookAhead,Primitive,8,10,10,20,20,0,36.6,696,2,15.5,1,0,0,0,0
LookAhead,Primitive,9,10,10,20,20,0,5.7,140,2,3.6000000000000005,0,0,1,0,0
LookAhead,Primitive,10,10,10,20,20,0,38.900000000000006,779,6,16.016666666666666,1,0,0,0,0
LookAhead,Primitive,11,10,10,20,20,0,39.1,785,6,20.78333333333333,1,0,0,0,0
LookAhead,Primitive,12,10,10,20,20,0,38.0,718,4,16.675,1,0,0,0,0
LookAhead,Primitive,13,10,10,20,20,0,11.8,245,0,,0,0,1,0,0
LookAhead,Primitive,14,10,10,20,20,0,38.3,761,6,18.71666666666667,1,0,0,0,0
LookAhead,Primitive,15,10,10,20,20,0,39.7,734,2,16.700000000000003,1,0,0,0,0
LookAhead,Primitive,16,10,10,20,20,0,9.4,212,2,4.25,0,0,1,0,0
LookAhead,Primitive,17,10,10,20,20,0,37.1,702,3,10.366666666666667,1,0,0,0,0
LookAhead,Primitive,18,10,10,20,20,0,37.3,693,2,11.85,1,0,0,0,0
LookAhead,Primitive,19,10,10,20,20,0,25.3,486,3,12.466666666666669,0,0,1,0,0
LookAhead,Primitive,20,10,10,20,20,0,6.300000000000001,140,1,0.3,0,0,1,0,0
LookAhead,Primitive,21,10,10,20,20,0,16.0,320,1,0.8,0,0,0,0,1
LookAhead,Primitive,22,10,10,20,20,0,37.3,701,2,13.400000000000002,1,0,0,0,0
LookAhead,Primitive,23,10,10,20,20,0,38.7,726,4,15.8,1,0,0,0,0
LookAhead,Primitive,24,10,10,20,20,0,36.9,704,6,13.583333333333334,1,0,0,0,0
LookAhead,Primitive,25,10,10,20,20,0,37.9,770,5,12.24,1,0,0,0,0
LookAhead,Primitive,26,10,10,20,20,0,39.400000000000006,757,4,16.3,1,0,0,0,0
LookAhead,Primitive,27,10,10,20,20,0,23.9,515,3,7.5,0,0,1,0,0
LookAhead,Primitive,28,10,10,20,20,0,28.8,541,8,5.237500000000001,0,0,1,0,0
LookAhead,Primitive,29,10,10,20,20,0,38.1,743,4,14.475,1,0,0,0,0
LookAhead,Primitive,30,10,10,20,20,0,21.5,445,4,5.775000000000001,0,0,0,0,1
LookAhead,Primitive,31,10,10,20,20,0,42.6,748,6,16.26666666666667,1,0,0,0,0
LookAhead,Primitive,32,10,10,20,20,0,37.3,680,4,11.8,1,0,0,0,0
LookAhead,Primitive,33,10,10,20,20,0,36.4,691,2,11.05,1,0,0,0,0
LookAhead,Primitive,34,10,10,20,20,0,36.1,704,4,9.15,1,0,0,0,0
LookAhead,Primitive,35,10,10,20,20,0,13.1,239,1,13.1,0,1,0,0,0
LookAhead,Primitive,36,10,10,20,20,0,38.2,695,2,23.6,1,0,0,0,0
LookAhead,Primitive,37,10,10,20,20,0,0.8,54,1,0.8,0,0,0,0,1
LookAhead,Primitive,38,10,10,20,20,0,0.2,33,1,0.2,0,0,1,0,0
LookAhead,Primitive,39,10,10,20,20,0,36.0,811,4,12.85,1,0,0,0,0
LookAhead,Primitive,40,10,10,20,20,0,22.3,390,4,5.025,0,0,0,0,1
LookAhead,Primitive,41,10,10,20,20,0,41.3,791,6,14.866666666666664,1,0,0,0,0
LookAhead,Primitive,42,10,10,20,20,0,37.8,731,4,8.25,1,0,0,0,0
LookAhead,Primitive,43,10,10,20,20,0,6.800000000000001,162,0,,0,0,1,0,0
LookAhead,Primitive,44,10,10,20,20,0,37.1,721,6,10.833333333333334,1,0,0,0,0
LookAhead,Primitive,45,10,10,20,20,0,17.3,357,0,,0,0,1,0,0
LookAhead,Primitive,46,10,10,20,20,0,37.3,697,3,13.7,1,0,0,0,0
LookAhead,Primitive,47,10,10,20,20,0,40.2,788,5,11.16,1,0,0,0,0
LookAhead,Primitive,48,10,10,20,20,0,38.7,728,4,16.75,1,0,0,0,0
LookAhead,Primitive,49,10,10,20,20,0,39.1,745,4,8.575,1,0,0,0,0
LookAhead,Primitive,50,10,10,20,20,0,35.800000000000004,697,1,10.3,0,0,1,0,0
LookAhead,Primitive,51,10,10,20,20,0,4.3,110,2,2.55,0,0,0,0,1
LookAhead,Primitive,52,10,10,20,20,0,37.9,737,4,13.1,0,0,1,0,0
LookAhead,Primitive,53,10,10,20,20,0,38.900000000000006,751,5,13.88,1,0,0,0,0
LookAhead,Primitive,54,10,10,20,20,0,40.2,714,4,11.875,1,0,0,0,0
LookAhead,Primitive,55,10,10,20,20,0,37.9,695,2,13.05,1,0,0,0,0
LookAhead,Primitive,56,10,10,20,20,0,37.8,725,2,8.5,1,0,0,0,0
LookAhead,Primitive,57,10,10,20,20,0,1.6,68,1,0.8,0,0,0,0,1
LookAhead,Primitive,58,10,10,20,20,0,39.7,718,6,12.5,1,0,0,0,0
LookAhead,Primitive,59,10,10,20,20,0,38.8,736,4,15.050000000000002,1,0,0,0,0
LookAhead,Primitive,0,10,10,20,40,0,29.0,857,5,15.919999999999998,1,0,0,0,0
LookAhead,Primitive,1,10,10,20,40,0,23.4,722,4,11.55,1,0,0,0,0
LookAhead,Primitive,2,10,10,20,40,0,26.0,724,4,9.925,1,0,0,0,0
LookAhead,Primitive,3,10,10,20,40,0,22.200000000000003,826,5,10.36,1,0,0,0,0
LookAhead,Primitive,4,10,10,20,40,0,24.0,764,3,12.666666666666666,1,0,0,0,0
LookAhead,Primitive,5,10,10,20,40,0,21.5,719,1,14.5,1,0,0,0,0
LookAhead,Primitive,6,10,10,20,40,0,21.6,708,3,4.366666666666666,1,0,0,0,0
LookAhead,Primitive,7,10,10,20,40,0,28.200000000000003,766,4,10.45,1,0,0,0,0
LookAhead,Primitive,8,10,10,20,40,0,26.3,771,1,16.0,1,0,0,0,0
LookAhead,Primitive,9,10,10,20,40,0,25.0,757,2,9.0,1,0,0,0,0
LookAhead,Primitive,10,10,10,20,40,0,25.0,747,2,13.75,1,0,0,0,0
LookAhead,Primitive,11,10,10,20,40,0,26.200000000000003,817,5,15.1,1,0,0,0,0
LookAhead,Primitive,12,10,10,20,40,0,28.9,895,4,18.775,1,0,0,0,0
LookAhead,Primitive,13,10,10,20,40,0,21.5,749,4,10.975,1,0,0,0,0
LookAhead,Primitive,14,10,10,20,40,0,30.3,766,5,17.78,1,0,0,0,0
LookAhead,Primitive,15,10,10,20,40,0,21.5,684,1,7.9,1,0,0,0,0
LookAhead,Primitive,16,10,10,20,40,0,23.200000000000003,752,4,10.725,1,0,0,0,0
LookAhead,Primitive,17,10,10,20,40,0,22.200000000000003,758,1,9.8,1,0,0,0,0
LookAhead,Primitive,18,10,10,20,40,0,26.5,804,5,11.960000000000004,1,0,0,0,0
LookAhead,Primitive,19,10,10,20,40,0,25.200000000000003,745,3,13.4,1,0,0,0,0
LookAhead,Primitive,20,10,10,20,40,0,23.5,734,1,13.0,1,0,0,0,0
LookAhead,Primitive,21,10,10,20,40,0,23.9,733,3,10.133333333333333,1,0,0,0,0
LookAhead,Primitive,22,10,10,20,40,0,22.9,764,1,14.1,1,0,0,0,0
LookAhead,Primitive,23,10,10,20,40,0,22.4,739,3,10.466666666666669,1,0,0,0,0
LookAhead,Primitive,24,10,10,20,40,0,23.700000000000003,726,4,13.550000000000002,1,0,0,0,0
LookAhead,Primitive,25,10,10,20,40,0,23.3,839,6,10.3,1,0,0,0,0
LookAhead,Primitive,26,10,10,20,40,0,29.0,796,4,18.8,1,0,0,0,0
