,Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Total samples,Success,Static collision,Dynamic collision,Area covered per step,Agent tracked per step,Agent tracking time
57,LookAhead,Primitive,15,0,20,40,88,80,0,8,2.697026772501009,2.26691779900444,18.220408163911436
58,LookAhead,Primitive,15,0,30,20,68,43,0,25,1.593366682656068,1.5212773247447406,19.317682893226372
59,LookAhead,Primitive,15,0,30,30,84,65,0,20,2.2213525988360425,1.9198608602582112,17.946321767663232
60,LookAhead,Primitive,15,0,30,40,83,69,0,14,2.4415610541138606,2.172601086300543,14.850697535444121
61,LookAhead,Primitive,15,0,40,20,76,28,0,48,1.4769251499023108,1.7786161827123896,16.083068672699355
62,LookAhead,Primitive,15,0,40,30,86,46,0,40,1.7897044171371637,1.9926934573231485,13.19786065859092
63,LookAhead,Primitive,15,0,40,40,106,61,0,45,2.542969009224235,2.3757382706218064,13.207507459951593
64,LookAhead,Primitive,15,5,20,20,66,52,0,14,1.692587601078167,1.853099730458221,24.1027593385693
65,LookAhead,Primitive,15,5,20,30,78,75,0,3,2.25109243697479,1.9092436974789917,19.177477530007046
66,LookAhead,Primitive,15,5,20,40,88,82,0,6,2.659767488744036,2.26463275317519,15.999469127133146
67,LookAhead,Primitive,15,5,30,20,71,44,0,27,1.744409599127352,1.79301881647123,19.609063961128435
68,LookAhead,Primitive,15,5,30,30,85,61,0,24,2.0697038420490927,2.047758804695838,17.264150196519655
69,LookAhead,Primitive,15,5,30,40,98,78,1,19,2.699228620827238,2.1944407500997474,15.083286026656415
70,LookAhead,Primitive,15,5,40,20,76,27,0,49,1.5057754083794683,1.7292051124325063,16.0886555473512
71,LookAhead,Primitive,15,5,40,30,90,47,0,43,2.0035274542429287,2.1830282861896837,15.35869329687927
72,LookAhead,Primitive,15,5,40,40,109,65,0,44,2.5917084587094616,2.7081243731193583,13.52828090633646
73,LookAhead,Primitive,15,10,20,20,67,55,0,12,1.729093842430761,2.063726808281796,23.76765540014092
74,LookAhead,Primitive,15,10,20,30,82,77,0,5,2.2721198623203076,1.8897212661132483,18.036575171213745
75,LookAhead,Primitive,15,10,20,40,91,86,0,5,2.6960299425210534,2.6199705921668226,15.931305208922858
76,LookAhead,Primitive,15,10,30,20,69,43,0,26,1.7002404488378307,1.6363879241250334,19.00394381129075
77,LookAhead,Primitive,15,10,30,30,86,62,0,24,2.2140291426635037,2.073873263300576,17.973409690489156
78,LookAhead,Primitive,15,10,30,40,92,72,0,20,2.5676276438097805,2.1824060352957027,15.027220243360881
79,LookAhead,Primitive,15,10,40,20,86,42,0,44,1.7070740839796736,2.0794330034768653,16.936945994341496
80,LookAhead,Primitive,15,10,40,30,87,45,0,42,1.86734556244942,2.0434313461019693,15.97974859757038
81,LookAhead,Primitive,15,10,40,40,99,63,0,36,2.5343557460487545,2.1430484864720065,12.679503066378066
82,Rotating,Primitive,5,0,20,20,46,40,0,6,2.2227717775310385,1.1002321590794388,12.65679111917644
83,Rotating,Primitive,5,0,20,30,60,51,0,9,2.723155882056959,0.8755157492200866,11.197792373654442
