Method,Planner,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
Oxford,Primitive,0,10,10,20,20,2,39.400000000000006,970,8,6.987500000000001,1,0,0,0,0
Oxford,Primitive,1,10,10,20,20,2,38.6,952,6,8.850000000000001,1,0,0,0,0
Oxford,Primitive,2,10,10,20,20,2,35.6,932,3,6.6000000000000005,1,0,0,0,0
Oxford,Primitive,3,10,10,20,20,2,36.3,964,3,5.233333333333333,1,0,0,0,0
Oxford,Primitive,4,10,10,20,20,2,38.7,970,6,5.8500000000000005,1,0,0,0,0
Oxford,Primitive,5,10,10,20,20,2,22.4,603,2,6.6,0,0,1,0,0
Oxford,Primitive,6,10,10,20,20,2,37.5,981,5,8.02,1,0,0,0,0
Oxford,Primitive,7,10,10,20,20,2,2.1,105,1,2.1,0,0,1,0,0
Oxford,Primitive,8,10,10,20,20,2,14.9,423,3,5.533333333333334,0,0,0,0,1
Oxford,Primitive,9,10,10,20,20,2,36.2,988,5,8.760000000000002,1,0,0,0,0
Oxford,Primitive,10,10,10,20,20,2,17.3,477,2,9.1,0,0,1,0,1
Oxford,Primitive,11,10,10,20,20,2,37.2,966,8,9.225,1,0,0,0,0
Oxford,Primitive,12,10,10,20,20,2,5.300000000000001,164,2,2.7,0,0,0,0,1
Oxford,Primitive,13,10,10,20,20,2,37.0,961,5,9.1,1,0,0,0,0
Oxford,Primitive,14,10,10,20,20,2,9.2,298,3,6.6000000000000005,0,0,1,0,0
Oxford,Primitive,15,10,10,20,20,2,38.0,978,3,12.533333333333331,1,0,0,0,0
Oxford,Primitive,16,10,10,20,20,2,9.8,308,3,3.233333333333333,0,0,1,0,0
Oxford,Primitive,17,10,10,20,20,2,27.9,699,2,4.8,0,1,0,0,0
Oxford,Primitive,18,10,10,20,20,2,26.4,682,7,5.828571428571429,0,0,1,0,0
Oxford,Primitive,19,10,10,20,20,2,37.2,934,5,8.100000000000001,1,0,0,0,0
Oxford,Primitive,20,10,10,20,20,2,37.3,944,4,7.2,1,0,0,0,0
Oxford,Primitive,21,10,10,20,20,2,38.6,928,3,9.733333333333333,1,0,0,0,0
Oxford,Primitive,22,10,10,20,20,2,37.4,944,4,6.65,1,0,0,0,0
Oxford,Primitive,23,10,10,20,20,2,17.400000000000002,481,2,2.0,0,0,0,0,1
Oxford,Primitive,24,10,10,20,20,2,32.2,808,3,2.866666666666667,0,0,1,0,0
Oxford,Primitive,25,10,10,20,20,2,2.6,111,1,2.6,0,0,1,0,0
Oxford,Primitive,26,10,10,20,20,2,15.1,360,4,6.8500000000000005,0,1,0,0,0
Oxford,Primitive,27,10,10,20,20,2,38.2,1001,6,7.45,1,0,0,0,0
Oxford,Primitive,28,10,10,20,20,2,24.6,599,5,4.860000000000001,0,0,1,0,0
Oxford,Primitive,29,10,10,20,20,2,35.5,999,2,10.5,1,0,0,0,0
Oxford,Primitive,30,10,10,20,20,2,37.8,962,6,7.75,1,0,0,0,0
