Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
NoControl,Primitive,CVM,0,10,0,20,20,0,35.800000000000004,1049,5,10.48,1,0,0,0,0,1
NoControl,Primitive,CVM,1,10,0,20,20,0,34.7,1035,5,12.78,1,0,0,0,0,1
NoControl,Primitive,CVM,2,10,0,20,20,0,39.0,1070,7,10.857142857142858,1,0,0,0,0,1
NoControl,Primitive,CVM,3,10,0,20,20,0,39.3,1069,7,13.05714285714286,1,0,0,0,0,1
NoControl,Primitive,CVM,4,10,0,20,20,0,38.5,1066,8,10.625000000000002,1,0,0,0,0,1
NoControl,Primitive,CVM,0,10,0,20,40,0,24.1,1042,5,12.24,1,0,0,0,0,1
NoControl,Primitive,CVM,1,10,0,20,40,0,24.6,1081,6,13.016666666666667,1,0,0,0,0,1
NoControl,Primitive,CVM,2,10,0,20,40,0,26.8,1169,5,11.260000000000002,1,0,0,0,0,1
NoControl,Primitive,CVM,3,10,0,20,40,0,23.200000000000003,1133,7,13.257142857142858,1,0,0,0,0,1
NoControl,Primitive,CVM,4,10,0,20,40,0,21.5,1036,5,7.659999999999999,1,0,0,0,0,1
NoControl,Primitive,CVM,0,10,0,20,60,0,11.7,1026,4,5.7,1,0,0,0,0,1
NoControl,Primitive,CVM,1,10,0,20,60,0,11.7,1026,4,6.8,1,0,0,0,0,1
NoControl,Primitive,CVM,2,10,0,20,60,0,15.3,1042,5,7.140000000000001,1,0,0,0,0,1
NoControl,Primitive,CVM,3,10,0,20,60,0,11.7,1026,4,7.35,1,0,0,0,0,1
NoControl,Primitive,CVM,4,10,0,20,60,0,12.7,1030,5,5.540000000000001,1,0,0,0,0,1
NoControl,Primitive,CVM,0,10,0,40,20,0,36.4,1028,9,9.144444444444446,1,0,0,0,0,1
NoControl,Primitive,CVM,1,10,0,40,20,0,36.4,1061,10,8.810000000000002,1,0,0,0,0,1
NoControl,Primitive,CVM,2,10,0,40,20,0,41.0,1080,8,7.1625000000000005,1,0,0,0,0,1
NoControl,Primitive,CVM,3,10,0,40,20,0,37.7,1031,12,8.483333333333334,1,0,0,0,0,1
NoControl,Primitive,CVM,4,10,0,40,20,0,40.2,1123,10,7.26,1,0,0,0,0,1
NoControl,Primitive,CVM,0,10,0,40,40,0,24.6,1162,7,6.8,1,0,0,0,0,1
NoControl,Primitive,CVM,1,10,0,40,40,0,29.4,1238,8,8.975,1,0,0,0,0,1
NoControl,Primitive,CVM,2,10,0,40,40,0,25.200000000000003,1087,8,6.6375,1,0,0,0,0,1
NoControl,Primitive,CVM,3,10,0,40,40,0,21.200000000000003,1112,8,6.5375,1,0,0,0,0,1
NoControl,Primitive,CVM,4,10,0,40,40,0,12.1,590,2,3.1500000000000004,0,0,0,0,1,2
NoControl,Primitive,CVM,0,10,0,40,60,0,11.5,1014,5,4.86,1,0,0,0,0,1
NoControl,Primitive,CVM,1,10,0,40,60,0,12.4,1078,6,6.400000000000001,1,0,0,0,0,1
NoControl,Primitive,CVM,2,10,0,40,60,0,14.0,1195,5,4.24,1,0,0,0,0,1
NoControl,Primitive,CVM,3,10,0,40,60,0,12.3,1085,6,6.883333333333333,1,0,0,0,0,1
NoControl,Primitive,CVM,4,10,0,40,60,0,11.7,1026,5,3.88,1,0,0,0,0,1
NoControl,Primitive,CVM,0,10,0,60,20,0,38.5,1070,16,6.487500000000001,1,0,0,0,0,1
NoControl,Primitive,CVM,1,10,0,60,20,0,9.7,345,4,3.025,0,0,1,0,0,2
NoControl,Primitive,CVM,2,10,0,60,20,0,32.9,937,11,5.172727272727273,0,0,0,0,1,2
NoControl,Primitive,CVM,3,10,0,60,20,0,17.900000000000002,555,8,4.875000000000001,0,0,0,0,1,2
NoControl,Primitive,CVM,4,10,0,60,20,0,23.8,693,10,5.5200000000000005,0,0,0,0,1,2
NoControl,Primitive,CVM,0,10,0,60,40,0,13.0,646,5,3.64,0,0,0,0,1,2
NoControl,Primitive,CVM,1,10,0,60,40,0,8.6,454,4,2.625,0,0,0,0,1,2
NoControl,Primitive,CVM,2,10,0,60,40,0,18.2,878,7,5.171428571428572,0,0,0,0,1,2
NoControl,Primitive,CVM,3,10,0,60,40,0,22.4,1070,8,4.925000000000001,1,0,0,0,0,1
NoControl,Primitive,CVM,4,10,0,60,40,0,15.0,736,6,3.2000000000000006,0,0,0,0,1,2
NoControl,Primitive,CVM,0,10,0,60,60,0,2.6,248,1,1.0,0,0,1,0,0,2
NoControl,Primitive,CVM,1,10,0,60,60,0,12.8,1135,5,4.680000000000001,1,0,0,0,0,1
NoControl,Primitive,CVM,2,10,0,60,60,0,5.7,537,1,0.8,0,0,1,0,0,2
NoControl,Primitive,CVM,3,10,0,60,60,0,7.6,703,7,2.2857142857142856,0,0,1,0,0,2
NoControl,Primitive,CVM,4,10,0,60,60,0,11.7,1026,8,2.9875000000000003,1,0,0,0,0,1
NoControl,Primitive,CVM,0,20,0,20,20,0,35.2,1066,11,12.090909090909092,1,0,0,0,0,1
NoControl,Primitive,CVM,1,20,0,20,20,0,38.5,1097,13,12.192307692307692,1,0,0,0,0,1
NoControl,Primitive,CVM,2,20,0,20,20,0,35.9,1043,7,13.257142857142856,1,0,0,0,0,1
NoControl,Primitive,CVM,3,20,0,20,20,0,36.9,1061,12,13.866666666666667,1,0,0,0,0,1
NoControl,Primitive,CVM,4,20,0,20,20,0,38.0,1118,13,10.407692307692308,1,0,0,0,0,1
NoControl,Primitive,CVM,0,20,0,20,40,0,25.0,1088,8,14.3125,1,0,0,0,0,1
NoControl,Primitive,CVM,1,20,0,20,40,0,25.0,1165,12,12.233333333333334,1,0,0,0,0,1
NoControl,Primitive,CVM,2,20,0,20,40,0,20.1,1053,9,8.355555555555556,1,0,0,0,0,1
NoControl,Primitive,CVM,3,20,0,20,40,0,24.200000000000003,1080,13,13.484615384615385,1,0,0,0,0,1
NoControl,Primitive,CVM,4,20,0,20,40,0,24.200000000000003,1149,12,9.625,0,0,1,0,0,2
NoControl,Primitive,CVM,0,20,0,20,60,0,14.0,1017,10,6.9,1,0,0,0,0,1
NoControl,Primitive,CVM,1,20,0,20,60,0,11.3,1010,8,5.2875,1,0,0,0,0,1
NoControl,Primitive,CVM,2,20,0,20,60,0,12.8,1100,6,4.983333333333334,1,0,0,0,0,1
NoControl,Primitive,CVM,3,20,0,20,60,0,14.6,1198,9,9.0,1,0,0,0,0,1
NoControl,Primitive,CVM,4,20,0,20,60,0,8.200000000000001,749,8,2.525,0,0,1,0,0,2
NoControl,Primitive,CVM,0,20,0,40,20,0,30.4,890,19,5.910526315789473,0,0,0,0,1,2
