Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,Primitive,CVM,0,10,0,20,20,0,37.4,734,4,8.75,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,10,0,20,20,0,11.3,252,2,6.700000000000001,0,0,1,0,0,3
LookAhead,Primitive,CVM,2,10,0,20,20,0,39.0,740,4,11.575,1,0,0,0,0,1
LookAhead,Primitive,CVM,3,10,0,20,20,0,39.2,757,5,14.34,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,10,0,20,20,0,36.4,725,3,18.46666666666667,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,40,0,22.8,779,2,12.2,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,10,0,20,40,0,21.5,716,3,9.6,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,10,0,20,40,0,21.5,719,3,8.366666666666667,1,0,0,0,0,1
LookAhead,Primitive,CVM,3,10,0,20,40,0,23.6,736,3,11.333333333333334,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,10,0,20,40,0,22.4,724,3,12.133333333333336,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,20,60,0,11.5,689,6,5.083333333333334,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,10,0,20,60,0,11.7,715,2,5.2,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,10,0,20,60,0,13.7,740,3,7.266666666666667,1,0,0,0,0,1
LookAhead,Primitive,CVM,3,10,0,20,60,0,11.7,717,1,1.9,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,10,0,20,60,0,11.7,718,1,8.9,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,40,20,0,40.2,780,9,6.911111111111111,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,10,0,40,20,0,16.6,348,4,6.9,0,0,1,0,0,3
LookAhead,Primitive,CVM,2,10,0,40,20,0,15.9,321,3,4.966666666666666,0,0,0,0,1,2
LookAhead,Primitive,CVM,3,10,0,40,20,0,36.6,688,10,7.340000000000001,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,10,0,40,20,0,37.2,748,7,8.285714285714286,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,10,0,40,40,0,23.3,727,3,6.466666666666666,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,10,0,40,40,0,27.4,787,8,7.862500000000001,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,10,0,40,40,0,13.4,447,2,3.8,0,0,0,0,1,2
LookAhead,Primitive,CVM,3,10,0,40,40,0,21.3,718,5,7.220000000000001,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,10,0,40,40,0,18.4,620,6,5.016666666666667,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,10,0,40,60,0,13.1,762,3,6.166666666666667,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,10,0,40,60,0,11.7,715,2,5.4,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,10,0,40,60,0,11.7,718,0,,1,0,0,0,0,1
LookAhead,Primitive,CVM,3,10,0,40,60,0,11.7,716,1,9.5,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,10,0,40,60,0,4.1000000000000005,252,1,1.3,0,0,1,0,0,3
LookAhead,Primitive,CVM,0,10,0,60,20,0,31.0,635,10,4.7,0,0,1,0,0,2
LookAhead,Primitive,CVM,1,10,0,60,20,0,15.0,352,6,3.533333333333333,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,10,0,60,20,0,7.800000000000001,161,4,2.375,0,0,1,0,0,2
LookAhead,Primitive,CVM,3,10,0,60,20,0,7.5,162,4,3.725000000000001,0,0,0,0,1,2
LookAhead,Primitive,CVM,4,10,0,60,20,0,5.1000000000000005,128,1,0.1,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,10,0,60,40,0,11.6,415,4,2.475,0,0,1,0,0,2
LookAhead,Primitive,CVM,1,10,0,60,40,0,19.0,651,6,4.25,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,10,0,60,40,0,4.9,213,2,0.35,0,0,1,0,0,2
LookAhead,Primitive,CVM,3,10,0,60,40,0,12.2,462,3,6.366666666666667,0,0,1,0,0,3
LookAhead,Primitive,CVM,4,10,0,60,40,0,6.5,260,1,0.1,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,10,0,60,60,0,11.7,718,2,3.4000000000000004,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,10,0,60,60,0,2.5,118,2,0.65,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,10,0,60,60,0,11.7,716,4,3.0250000000000004,1,0,0,0,0,1
LookAhead,Primitive,CVM,3,10,0,60,60,0,12.3,731,5,5.340000000000001,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,10,0,60,60,0,6.2,377,3,1.7,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,20,0,20,20,0,42.1,782,10,10.4,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,20,0,20,20,0,34.9,675,5,8.080000000000002,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,20,0,20,20,0,8.0,200,4,3.825,0,0,1,0,0,3
LookAhead,Primitive,CVM,3,20,0,20,20,0,3.8,102,1,0.6000000000000001,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,20,0,20,20,0,18.2,390,4,4.125000000000001,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,20,0,20,40,0,21.1,719,8,8.075000000000001,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,20,0,20,40,0,25.6,860,6,13.733333333333334,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,20,0,20,40,0,26.200000000000003,829,9,13.955555555555556,1,0,0,0,0,1
LookAhead,Primitive,CVM,3,20,0,20,40,0,24.5,798,8,9.9125,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,20,0,20,40,0,27.0,887,6,7.950000000000002,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,20,0,20,60,0,13.4,769,7,6.3,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,20,0,20,60,0,7.5,411,4,3.3000000000000003,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,20,0,20,60,0,13.1,722,10,7.139999999999999,1,0,0,0,0,1
LookAhead,Primitive,CVM,3,20,0,20,60,0,13.2,740,5,6.200000000000001,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,20,0,20,60,0,11.7,701,6,6.0,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,20,0,40,20,0,26.3,548,6,5.083333333333334,0,0,1,0,0,2
LookAhead,Primitive,CVM,1,20,0,40,20,0,37.6,749,6,6.100000000000001,0,0,1,0,0,3
LookAhead,Primitive,CVM,2,20,0,40,20,0,19.3,418,8,5.612500000000001,0,0,1,0,0,3
LookAhead,Primitive,CVM,3,20,0,40,20,0,13.5,289,5,3.58,0,0,1,0,0,3
LookAhead,Primitive,CVM,4,20,0,40,20,0,25.6,523,11,6.490909090909091,0,0,0,0,1,2
LookAhead,Primitive,CVM,0,20,0,40,40,0,21.5,734,6,6.1000000000000005,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,20,0,40,40,0,10.6,387,3,3.5333333333333337,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,20,0,40,40,0,4.1000000000000005,144,4,1.5750000000000002,0,0,0,0,1,2
