Method,Planner,Motion Profile,Map ID,Agent size,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(40, 250)",13.6,254,0,,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(40, 460)",26.8,434,1,3.8,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(250, 40)",13.7,317,1,3.8,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(250, 250)",17.5,432,1,11.1,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(250, 460)",28.1,633,4,11.725,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(460, 40)",18.4,367,3,4.833333333333333,0,0,0,0,1,2
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(460, 250)",28.6,660,1,11.2,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 40)","(460, 460)",34.2,730,5,11.64,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(40, 40)",13.7,279,0,,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(40, 460)",18.7,292,3,7.066666666666667,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(250, 40)",17.900000000000002,444,3,6.266666666666667,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(250, 250)",13.6,353,1,4.0,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(250, 460)",16.8,382,1,8.0,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(460, 40)",27.200000000000003,639,2,14.05,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(460, 250)",28.200000000000003,610,3,9.4,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 250)","(460, 460)",27.0,609,2,7.65,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 460)","(40, 40)",26.6,443,2,4.8500000000000005,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 460)","(40, 250)",13.7,268,0,,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 460)","(250, 40)",28.200000000000003,646,4,9.625000000000002,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 460)","(250, 250)",10.5,278,2,4.2,0,0,1,0,0,3
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 460)","(250, 460)",13.6,279,0,,1,0,0,0,0,1
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 460)","(460, 40)",10.5,278,2,4.2,0,0,1,0,0,3
LookAhead,Primitive,CVM,15,5,10,0,20,20,0,"(40, 460)","(460, 250)",28.0,626,4,9.05,1,0,0,0,0,1
