Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,Primitive,CVM,4,20,10,20,20,0,37.7,749,6,12.433333333333332,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,20,10,20,40,0,24.1,765,4,8.7,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,20,10,20,40,0,23.8,749,4,11.25,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,20,10,20,40,0,10.6,370,2,3.1000000000000005,0,1,0,0,0,3
LookAhead,Primitive,CVM,3,20,10,20,40,0,21.5,721,9,8.511111111111113,0,1,0,0,0,3
LookAhead,Primitive,CVM,4,20,10,20,40,0,13.8,453,2,6.75,0,1,0,0,0,3
LookAhead,Primitive,CVM,0,20,10,20,60,0,11.8,711,2,3.25,1,0,0,0,0,1
LookAhead,Primitive,CVM,1,20,10,20,60,0,9.5,548,4,3.175,0,1,0,0,0,3
LookAhead,Primitive,CVM,2,20,10,20,60,0,15.6,700,9,6.266666666666668,0,1,0,0,0,3
LookAhead,Primitive,CVM,3,20,10,20,60,0,13.9,722,12,6.125,1,0,0,0,0,1
LookAhead,Primitive,CVM,4,20,10,20,60,0,11.8,691,6,3.5500000000000007,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,20,10,40,20,0,34.300000000000004,693,14,8.871428571428572,0,1,0,0,0,3
LookAhead,Primitive,CVM,1,20,10,40,20,0,13.4,290,1,0.2,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,20,10,40,20,0,30.200000000000003,622,9,5.0,0,0,1,0,0,3
LookAhead,Primitive,CVM,3,20,10,40,20,0,13.1,285,4,3.2,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,20,10,40,20,0,28.700000000000003,528,14,6.285714285714287,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,20,10,40,40,0,10.0,349,3,3.5333333333333337,0,0,0,0,1,2
LookAhead,Primitive,CVM,1,20,10,40,40,0,17.3,578,6,4.383333333333333,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,20,10,40,40,0,7.300000000000001,261,2,1.65,0,1,0,0,0,3
LookAhead,Primitive,CVM,3,20,10,40,40,0,8.0,296,4,2.1,0,0,0,0,1,2
LookAhead,Primitive,CVM,4,20,10,40,40,0,26.700000000000003,834,12,6.283333333333335,1,0,0,0,0,1
LookAhead,Primitive,CVM,0,20,10,40,60,0,7.800000000000001,432,5,1.38,0,0,1,0,0,2
LookAhead,Primitive,CVM,1,20,10,40,60,0,7.2,382,6,1.55,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,20,10,40,60,0,7.9,397,4,2.225,0,0,1,0,0,2
LookAhead,Primitive,CVM,3,20,10,40,60,0,5.0,286,2,2.3,0,1,0,0,0,3
LookAhead,Primitive,CVM,4,20,10,40,60,0,5.0,278,2,1.4,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,20,10,60,20,0,9.0,195,3,3.233333333333333,0,0,0,0,1,2
LookAhead,Primitive,CVM,1,20,10,60,20,0,12.2,243,5,2.44,0,0,1,0,0,2
LookAhead,Primitive,CVM,2,20,10,60,20,0,7.1000000000000005,159,1,1.2000000000000002,0,0,0,0,1,2
LookAhead,Primitive,CVM,3,20,10,60,20,0,17.7,358,9,4.155555555555556,0,0,0,0,1,2
LookAhead,Primitive,CVM,4,20,10,60,20,0,11.1,230,7,3.8,0,0,0,0,1,2
LookAhead,Primitive,CVM,0,20,10,60,40,0,11.5,389,9,3.077777777777778,0,0,1,0,0,2
LookAhead,Primitive,CVM,1,20,10,60,40,0,28.4,806,8,4.7125,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,20,10,60,40,0,8.4,289,4,1.8,0,0,0,0,1,2
LookAhead,Primitive,CVM,3,20,10,60,40,0,10.1,342,7,3.0,0,0,0,0,1,2
LookAhead,Primitive,CVM,4,20,10,60,40,0,4.3,150,5,1.26,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,20,10,60,60,0,12.7,676,7,4.971428571428571,0,0,0,0,1,2
LookAhead,Primitive,CVM,1,20,10,60,60,0,12.8,750,6,3.9166666666666665,1,0,0,0,0,1
LookAhead,Primitive,CVM,2,20,10,60,60,0,6.7,383,6,1.8500000000000003,0,0,1,0,0,2
LookAhead,Primitive,CVM,3,20,10,60,60,0,5.5,326,3,1.7000000000000002,0,0,1,0,0,2
LookAhead,Primitive,CVM,4,20,10,60,60,0,9.5,557,6,3.883333333333333,0,0,1,0,0,2
LookAhead,Primitive,CVM,0,30,10,20,20,0,16.1,333,5,2.64,0,1,0,0,0,3
LookAhead,Primitive,CVM,1,30,10,20,20,0,37.0,681,13,13.16153846153846,0,1,0,0,0,3
LookAhead,Primitive,CVM,2,30,10,20,20,0,37.8,734,9,11.666666666666666,1,0,0,0,0,1
