Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(25, 250)",5.6000000000000005,260,1,2.4000000000000004,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(25, 475)",41.7,493,5,6.44,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(250, 25)",5.6000000000000005,283,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(250, 250)",7.6,412,2,2.5500000000000003,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(250, 475)",11.6,626,3,3.966666666666667,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(475, 25)",7.800000000000001,357,2,0.85,0,0,1,0,0,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(475, 250)",11.6,623,1,8.4,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 25)","(475, 475)",18.0,745,5,8.82,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(25, 25)",1.8,85,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(25, 475)",38.8,270,4,7.25,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(250, 25)",8.0,445,4,2.9250000000000003,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(250, 250)",5.5,336,1,4.800000000000001,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(250, 475)",7.9,406,2,3.2,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(475, 25)",23.4,671,6,6.349999999999999,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(475, 250)",11.7,569,1,7.0,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 250)","(475, 475)",18.6,643,7,9.614285714285716,0,0,1,0,0,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(25, 25)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(25, 250)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(250, 25)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(250, 250)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(250, 475)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(475, 25)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(475, 250)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(25, 475)","(475, 475)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(25, 25)",80.0,319,7,10.571428571428571,0,0,0,1,0,3
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(25, 250)",8.0,406,1,3.6,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(25, 475)",41.7,611,3,5.066666666666667,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(250, 250)",5.5,305,1,0.4,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(250, 475)",11.8,618,3,5.5,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(475, 25)",23.4,312,3,4.1000000000000005,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(475, 250)",7.9,407,1,6.0,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 25)","(475, 475)",17.900000000000002,640,4,7.35,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(25, 25)",54.400000000000006,443,5,5.14,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(25, 250)",6.0,313,1,4.5,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(25, 475)",41.0,402,5,9.68,0,0,1,0,0,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(250, 25)",6.0,346,1,4.0,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(250, 475)",6.1000000000000005,297,3,3.1666666666666674,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(475, 25)",24.1,433,6,3.3000000000000003,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(475, 250)",6.0,313,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 250)","(475, 475)",18.4,406,4,12.325,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 475)","(25, 25)",1.0,7,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 475)","(25, 250)",1.0,7,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 475)","(25, 475)",1.0,7,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 475)","(250, 25)",1.0,7,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 475)","(250, 250)",1.0,7,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 475)","(475, 25)",1.0,7,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 475)","(475, 250)",1.0,7,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(250, 475)","(475, 475)",1.0,7,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 25)","(25, 25)",54.6,505,4,8.325000000000001,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 25)","(25, 250)",12.2,636,2,6.550000000000001,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 25)","(25, 475)",38.400000000000006,732,4,8.075,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 25)","(250, 25)",5.6000000000000005,285,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 25)","(250, 250)",7.4,410,2,3.5,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 25)","(250, 475)",12.5,629,3,5.566666666666666,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 25)","(475, 250)",5.6000000000000005,259,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 25)","(475, 475)",17.7,478,2,7.65,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 250)","(25, 25)",80.0,653,9,9.788888888888888,0,0,0,1,0,3
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 250)","(25, 250)",11.4,567,1,6.7,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 250)","(25, 475)",38.6,621,5,16.76,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 250)","(250, 25)",7.9,444,1,5.6000000000000005,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 250)","(250, 250)",5.5,332,1,0.8,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 250)","(250, 475)",8.200000000000001,408,4,3.875,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 250)","(475, 25)",1.8,84,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 250)","(475, 475)",7.1000000000000005,272,3,1.0,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 475)","(25, 25)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 475)","(25, 250)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 475)","(25, 475)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 475)","(250, 25)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 475)","(250, 250)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 475)","(250, 475)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 475)","(475, 25)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,0,10,0,20,40,0,"(475, 475)","(475, 250)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 25)","(25, 250)",5.6000000000000005,260,2,1.55,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 25)","(25, 475)",37.2,498,8,8.0875,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 25)","(250, 25)",5.6000000000000005,283,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 25)","(250, 250)",7.4,402,2,3.3,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 25)","(250, 475)",11.6,625,2,5.15,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 25)","(475, 25)",27.6,511,2,2.95,0,0,1,0,0,2
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 25)","(475, 250)",11.6,623,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 25)","(475, 475)",32.800000000000004,732,4,10.900000000000002,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 250)","(25, 25)",1.8,85,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 250)","(25, 475)",11.6,313,3,6.5,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 250)","(250, 25)",8.0,445,3,6.566666666666666,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 250)","(250, 250)",6.1000000000000005,392,3,3.8000000000000007,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 250)","(250, 475)",7.9,402,0,,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 250)","(475, 25)",27.700000000000003,673,4,7.85,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 250)","(475, 250)",11.9,618,3,8.166666666666666,1,0,0,0,0,1
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 250)","(475, 475)",33.1,631,4,9.2,0,0,1,0,0,3
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 475)","(25, 25)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 475)","(25, 250)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 475)","(250, 25)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 475)","(250, 250)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 475)","(250, 475)",1.0,9,0,,0,0,0,0,1,2
LookAhead,Jerk_Primitive,CVM,1,10,0,20,40,0,"(25, 475)","(475, 25)",1.0,9,0,,0,0,0,0,1,2
