Method,Planner,Motion Profile,Map ID,Agent size,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Initial position,Target position,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock,state machine
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 40)","(40, 250)",7.6,267,1,0.6000000000000001,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 40)","(40, 460)",16.3,490,1,9.3,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 40)","(250, 40)",7.6,302,2,2.5,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 40)","(250, 250)",12.6,409,2,4.75,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 40)","(250, 460)",15.8,577,0,,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 40)","(460, 40)",15.2,512,3,6.333333333333333,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 40)","(460, 250)",22.0,643,3,7.900000000000001,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 40)","(460, 460)",21.700000000000003,747,4,7.0,0,0,1,0,0,2
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 250)","(40, 40)",11.3,330,1,7.4,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 250)","(40, 460)",13.7,299,1,4.1000000000000005,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 250)","(250, 40)",13.3,453,1,6.2,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 250)","(250, 250)",7.6,333,1,3.8,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 250)","(250, 460)",12.6,390,1,4.1000000000000005,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 250)","(460, 40)",9.8,404,3,2.833333333333333,0,0,1,0,0,2
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 250)","(460, 250)",16.3,573,4,6.525,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 250)","(460, 460)",15.8,607,2,3.95,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 460)","(40, 40)",16.900000000000002,562,2,5.6000000000000005,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 460)","(40, 250)",8.9,329,1,4.9,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 460)","(250, 40)",25.1,658,7,9.614285714285714,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 460)","(250, 250)",14.0,427,1,4.7,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 460)","(250, 460)",13.4,306,0,,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 460)","(460, 40)",21.700000000000003,734,1,4.7,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 460)","(460, 250)",18.5,637,3,6.666666666666667,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(40, 460)","(460, 460)",19.8,512,1,6.4,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 40)","(40, 40)",8.0,280,2,4.45,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 40)","(40, 250)",14.8,418,4,5.3500000000000005,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 40)","(40, 460)",15.4,561,3,7.166666666666667,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 40)","(250, 250)",7.6,299,1,3.2,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 40)","(250, 460)",15.5,523,0,,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 40)","(460, 40)",10.1,280,3,6.300000000000001,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 40)","(460, 250)",12.6,390,3,5.966666666666668,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 40)","(460, 460)",19.3,595,3,6.4,0,0,0,0,1,2
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 250)","(40, 40)",11.8,432,1,7.1000000000000005,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 250)","(40, 250)",8.0,309,0,,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 250)","(40, 460)",10.4,363,1,3.9,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 250)","(250, 40)",8.0,352,2,1.3,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 250)","(250, 460)",7.6,273,0,,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 250)","(460, 40)",14.0,417,4,8.475,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 250)","(460, 250)",13.5,316,2,10.0,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 250)","(460, 460)",14.5,415,1,8.3,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 460)","(40, 40)",17.900000000000002,597,1,7.1000000000000005,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 460)","(40, 250)",14.5,407,3,4.2,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 460)","(40, 460)",8.0,226,0,,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 460)","(250, 40)",19.1,582,3,8.866666666666667,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 460)","(250, 250)",8.0,336,0,,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 460)","(460, 40)",19.700000000000003,609,1,13.0,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 460)","(460, 250)",14.0,391,2,4.1,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(250, 460)","(460, 460)",13.4,275,1,8.0,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 40)","(40, 40)",16.2,500,4,7.700000000000001,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 40)","(40, 250)",15.3,613,5,4.32,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 40)","(40, 460)",23.1,758,5,9.42,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 40)","(250, 40)",8.0,298,4,3.1000000000000005,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 40)","(250, 250)",12.5,461,4,7.125,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 40)","(250, 460)",15.2,577,3,7.8,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 40)","(460, 250)",8.0,295,2,4.1000000000000005,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 40)","(460, 460)",15.2,476,3,7.433333333333334,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 250)","(40, 40)",17.400000000000002,624,4,6.85,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 250)","(40, 250)",16.5,573,4,6.025,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 250)","(40, 460)",17.400000000000002,604,1,8.1,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 250)","(250, 40)",13.6,455,5,7.38,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 250)","(250, 250)",9.4,340,2,7.4,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 250)","(250, 460)",14.0,378,0,,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 250)","(460, 40)",8.0,262,1,3.1,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 250)","(460, 460)",9.5,283,1,5.7,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 460)","(40, 40)",21.700000000000003,730,0,,1,0,0,0,0,1
LookGoal,Primitive,CVM,10,5,10,0,20,40,0,"(460, 460)","(40, 250)",16.8,613,3,4.4,1,0,0,0,0,1
